ZINC06680090	CCNC(=O)c1cc(S(=O)(=O)NCC(=O)[O-])c(C)s1
ZINC65570079	NC(=O)C1CCN(C(=O)C(=O)Nc2ccc(F)c(C(F)(F)F)c2)C1
ZINC67168303	CC(=O)Nc1ccc(NC(=O)C2(NC(C)=O)CCCCC2)c(Cl)c1
ZINC67268643	O=C1NC(=O)C2(CCC(C(=O)Nc3cccc(N4CCCC4)c3)CC2)N1
ZINC67274757	CSCc1ccc(NC(=O)C2CCC3(CC2)NC(=O)NC3=O)cc1
ZINC67276868	CC1CC(NC(=O)C2CCC3(CC2)NC(=O)NC3=O)c2ccccc21
ZINC67277199	O=C1NC(=O)C2(CCC(C(=O)Nc3cc(C(F)(F)F)ccc3F)CC2)N1
ZINC05829170	C/C=C(/NNc1ccccc1)C1C(=O)NC(=O)NC1=O
ZINC06182540	COc1cccc2cc(C(=O)NNC(N)=S)c(=O)oc12
ZINC08472677	COc1cc2cc(C(=O)NN)[nH]c2c(OC)c1OC
ZINC10391656	CN(C)c1nc(N)nc(CSc2nnc(N)s2)n1
ZINC15593545	CC(=O)NC(C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1)C(C)C
ZINC15830577	CSc1cccc(NC(=O)Nc2c[nH]c(=O)[nH]c2=O)c1
ZINC20303006	CNC(=O)NC(=O)C(C)Nc1ccc(NC(C)=O)cc1
ZINC27341251	CC(NC(N)=O)C(=O)Nc1cccc([N+](=O)[O-])c1
ZINC20254686	COc1cc(N)ccc1NS(=O)(=O)c1c(C)n[nH]c1C
ZINC35452838	Nc1cc2c(cc1NC1CCS(=O)(=O)C1)NC(=O)CO2
ZINC37023170	CC1(C)NC(=O)N(CCSc2nc(N)cc(=O)[nH]2)C1=O
ZINC38008858	Cc1csc([N-]S(=O)(=O)c2cc[nH+]c(NN)c2)n1
ZINC38008953	N#Cc1ccc([N-]S(=O)(=O)c2cc[nH+]c(NN)c2)cc1
ZINC40327081	Nc1[nH][nH+]cc1S(=O)(=O)[N-]c1cnc2ccccc2c1
ZINC40377008	CC1CCN(S(=O)(=O)NC(C)(C)/C(N)=N/O)CC1
ZINC40479115	CC(=O)Nc1ccc(NC(=O)C2CCC[NH2+]2)c(C(=O)[O-])c1
ZINC43047917	CC1CCCCC1NC(=O)NNC(=O)C(=O)NC1CC1
ZINC44877728	CNC(=O)C1CCCN1C(=O)C(/C(N)=N/O)C(C)C
ZINC44877734	CNC(=O)C1CCCN1C(=O)C(/C(N)=N/O)C(C)C
ZINC48390989	O=C(NNC(=O)c1cc(Cl)ccc1O)C(=O)NC1CC1
ZINC48395833	Cc1ccc(NC(=O)NNC(=O)C(=O)NC2CC2)cc1
ZINC48658043	CNC(=O)NC(=O)CNc1cccc(C(=O)NC)c1C
ZINC48696534	CNC(=O)c1ccc(NC(=O)NNC(=O)OC)cc1Cl
ZINC48839659	[NH3+]C1CCCCC1NS(=O)(=O)c1ccc(C(=O)[O-])o1
ZINC48847517	O=C([O-])c1cc(O)ccc1NC(=O)N1CCC[NH2+]CC1
ZINC48950864	CNC(=O)NNC(=O)C(C)NC(=O)C1CCCCC1
ZINC49075207	Nc1cc2c(cc1NCCn1cccn1)NC(=O)CO2
ZINC49159482	CNC(=O)NNC(=O)c1[nH]nc(C2CC2)c1Br
ZINC49164649	CCNC(=O)NNC(=O)c1ccc(C)c(NC(C)=O)c1
ZINC43612119	COC(=O)NNC(=O)Nc1nc(-c2ccc[nH]2)cs1
ZINC49209234	CCNC(=O)Nc1cccc(C2(C)NC(=O)NC2=O)c1
ZINC49278963	CCCNC(=O)NNC(=O)c1c[nH]c(=O)c(Cl)c1
ZINC49468825	CC(=O)c1c(C)[nH]c(C(=O)NNC(=O)NC(C)C)c1C
ZINC50396765	NC(=O)c1ccc(NC2CCCNC2=O)c([N+](=O)[O-])c1
ZINC50604365	N/C(=N/O)C1(C(=O)NCC2CCS(=O)(=O)C2)CCCC1
ZINC50677463	Nc1ccc2cc(S(=O)(=O)NCc3cn[nH]c3)ccc2n1
ZINC51089029	Cc1cc(NC(=O)c2cc(NN)ccc2[N+](=O)[O-])on1
ZINC51091101	NNc1ccc(C(=O)Nc2cccc3cnccc23)nn1
ZINC51095565	NNc1ccc([N+](=O)[O-])c(C(=O)NC2CC2)c1
ZINC51118999	Cn1cc(CNC(=O)c2cc(Cl)nc(NN)c2)cn1
ZINC06786791	COc1ccc2[nH]c(SCC(=O)NC(N)=O)nc2c1
ZINC51127811	NNc1ccc(C(=O)Nc2cc([N+](=O)[O-])ccc2F)nn1
ZINC56376074	CNC(=O)NNC(=O)c1cccc(NC(=O)C2CC2)c1
ZINC57292318	CNC(=O)NNC(=O)CNC(=O)c1ccccc1Cl
ZINC57292396	CN(C)C(=O)c1ccc(NC(=O)CNC(N)=O)cc1Cl
ZINC61684838	NNc1cc(C(=O)Nc2ccon2)cc(Cl)n1
ZINC61888035	N/C(=N/O)C1CCCC1NS(=O)(=O)C1CCOCC1
ZINC61888241	N/C(=N/O)C1CCCC1NS(=O)(=O)N1CCCCC1
ZINC64427251	Fc1ccccc1N1N[NH2+]NC1SCc1nnn[n-]1
ZINC65192644	O=C(NCC1CC1)NNC(=O)c1cc2ccccc2[nH]c1=O
ZINC04745455	O=C1CCCCC(=O)NCC(=O)NCCOCCNC(=O)CN1
ZINC04913828	Nc1cccc(Nc2nnc3c(=O)[nH]c(=O)[nH]c3n2)c1
ZINC05727658	CC1(C)C/C(=N/NC(N)=O)C/C(=N\NC(N)=O)C1
ZINC01724573	NNS(=O)(=O)c1ccc(Cl)c(S(=O)(=O)NN)c1
ZINC03200839	NS(=O)(=O)c1cc(S(N)(=O)=O)c2cccc3c2c1NC3=O
ZINC08816592	O=C1NC2NC(=O)N(CCCN3C(=O)NC4NC(=O)NC43)C2N1
ZINC05530924	N#Cc1nn(-c2ccc(/C=N\NC(N)=S)cc2)c(=O)[nH]c1=O
ZINC04653302	NNC(=O)Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
ZINC06693991	COc1cc(/C=N/Nc2nc3c(=O)[nH]cnc3[nH]2)ccc1O
ZINC19419441	O=C(/C=C1/CC(=O)NN1)N/N=C/c1ccc(O)cc1O
ZINC25627236	NC(=O)N/N=C1/CCC2CC1CC/C2=N\NC(N)=O
ZINC25708819	Cc1oc2nc[nH]c(=O)c2c1C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1
ZINC16952454	CSc1nc(NC2OCC(O)C(O)C2O)c(C=O)c(=O)[nH]1
ZINC37021977	Cc1n[nH]c(C)c1NC(=O)CSc1nc(N)cc(=O)[nH]1
ZINC05582639	O=c1[nH]c2ccc3[nH]c(=O)/c(=N\O)c(=O)c3c2c(=O)/c1=N/O
ZINC40215803	NS(=O)(=O)c1ccc(CNC(=O)c2c[nH]c(=O)[nH]2)s1
ZINC40378599	Cc1ccc(S(N)(=O)=O)cc1NC(=O)c1c[nH]c(=O)cn1
ZINC40378833	NS(=O)(=O)c1ccc(Cl)c(NC(=O)c2c[nH]c(=O)[nH]2)c1
ZINC40444358	O=c1[nH]nc(NCc2ccc(-c3ccn[nH]3)cc2)c(=O)[nH]1
ZINC40829882	NC(=O)Nc1ccc(NS(=O)(=O)c2cn[nH]c2)cc1
ZINC44987881	Cc1noc(CNc2ccc(S(N)(=O)=O)cc2N)n1
ZINC47232144	CC(=O)Nc1cc(NC(C)=O)cc(C(=O)Nc2cc(C)n[nH]2)c1
ZINC48476422	COC(=O)NNC(=O)Nc1ccc(F)c(NC(C)=O)c1
ZINC48950518	CNC(=O)NNC(=O)c1ccc2[nH]c(=O)[nH]c2c1
ZINC48961036	NC(=O)NCC1CCCN(C(=O)Nc2cn[nH]c2)C1
ZINC49095003	Cc1ccc(C(=O)NNC(=O)CC2NC(=O)NC2=O)s1
ZINC49128694	NS(=O)(=O)c1ccc(C(=O)NNC(=O)NC2CC2)cc1
ZINC49150713	O=C(CC1NC(=O)NC1=O)NNC(=O)NC1CC1
ZINC49153580	CC(CN1CCCC1=O)NC(=O)NNC(N)=O
ZINC49210663	CS(=O)(=O)CCNC(=O)Nc1ccc2[nH]c(=O)[nH]c2c1
ZINC49468103	CC(C)NC(=O)NNC(=O)c1ccc2[nH]c(=O)[nH]c2c1
ZINC49468670	CC(C)NC(=O)NNC(=O)c1cccc(NC(N)=O)c1
ZINC49516331	NS(=O)(=O)c1ccc(NC(=O)Nc2cc[nH]n2)cc1
ZINC19793789	CC(=O)NS(=O)(=O)c1ccc(NC(=O)C2=CNSN2)cc1
ZINC50305404	Cc1[nH]nc(C(=O)Nc2ccc(S(N)(=O)=O)cc2)c1N
ZINC50661714	Nc1ccc(S(=O)(=O)NC2CCCNC2=O)c([N+](=O)[O-])c1
ZINC50702272	CNC(=O)CNC(=O)c1cc(N)c(F)cc1[N+](=O)[O-]
ZINC51088918	NNc1ccc(C(=O)NC2CCS(=O)(=O)C2)cc1[N+](=O)[O-]
ZINC51093970	NNc1ccc([N+](=O)[O-])cc1C(=O)NC1CCCNC1=O
ZINC51147725	CC1(C)NC(=O)N(Cc2ccc(NN)c([N+](=O)[O-])c2)C1=O
ZINC50631930	Nc1[nH+]cccc1S(=O)(=O)[N-]c1ccc(S(N)(=O)=O)cc1
ZINC10118150	C/C(=N\NC(=O)c1ccc(N)cc1)c1c(C)[nH]c(=O)[nH]c1=O
ZINC55186486	Nc1nc(C(=O)Nc2ccc3[nH]c(=O)c(=O)[nH]c3c2)cs1
ZINC23386332	NC(=O)c1ccc(N2CCCC(C(N)=O)C2)c([N+](=O)[O-])c1
ZINC50661732	Nc1ccc([N+](=O)[O-])c(S(=O)(=O)NC2CCCNC2=O)c1
ZINC51090682	NNc1ccc([N+](=O)[O-])cc1C(=O)Nc1cnccn1
ZINC61712751	NNc1ccc([N+](=O)[O-])c(S(=O)(=O)N2CCC(O)C2)c1
ZINC62811170	Nc1c[nH]nc1C(=O)Nc1ccc(-n2cnnn2)cc1
ZINC66134300	Cc1nc(N)nc(-c2cccc([N+](=O)[O-])c2)c1C(=O)NN
ZINC67044253	Cc1nc2cc(=O)[nH]n2c(C)c1CC(=O)NNC(=O)NC(C)C
ZINC00037347	CC(=O)Nc1ccc(Nc2c(O)[nH]c(=O)n2N)cc1
ZINC04802747	CC(C)NC(=O)NC1C(NC(=O)NC(C)C)N(C)C(=O)N1C
ZINC04962923	O=C1CCCC(=O)NNC(=O)Nc2ccccc2NC(=O)NN1
ZINC03124186	COc1cc(/C=N/NC(=O)c2c[nH]c(=O)[nH]c2=O)ccc1O
ZINC05617970	Cc1ccc(-n2nc(C(=O)NN)c(N)c(C#N)c2=O)cc1
ZINC01799007	NS(=O)(=O)c1ccc(NC(=O)CC2SC(=O)NC2=O)cc1
ZINC05929597	Cc1ccc(S(=O)(=O)NC(=O)NS(N)(=O)=O)cc1
ZINC06185553	NC(=O)NC(=O)CSc1nnc(C2CC2)n1N
ZINC06764369	CC1(C)Cc2c(sc(NC(=O)C(=O)NN)c2C(N)=O)CO1
ZINC08326361	Nc1nc(N)nc(CN2C(=O)NC3(CCCC3)C2=O)n1
ZINC14612409	O=C1NC2C(=CC(O)C(O)C2O)c2cc3c(c(O)c21)OCO3
ZINC08653162	Nn1c(N/N=C2\C(=O)Nc3ccccc32)n[nH]c1=S
ZINC09013172	NC(=O)CSc1nnc(-c2n[nH]c3c2CCC3)n1N
ZINC21585738	CN1C(=O)N(Cc2nc(N)nc(N)n2)C(=O)C12CCCCC2
ZINC22159657	NNC(=O)c1cc(S(=O)(=O)N2CCNC(=O)C2)c[nH]1
ZINC08653124	Cc1nnc(N/N=C2\C(=O)Nc3ccccc32)n1N
ZINC39211221	NN1CNNC1N/N=C/C1C=NN=C1c1ccc(F)cc1
ZINC39211225	NN1CNNC1N/N=C/C1C=NN=C1c1ccc(F)cc1
ZINC39292240	NNC(=O)c1cccc([N+](=O)[O-])c1C(=O)NN
ZINC40329219	Nc1c[nH]c(C(=O)N2CCC3(CC2)NC(=O)NC3=O)c1
ZINC40378602	Cc1ccc(S(N)(=O)=O)cc1NC(=O)c1c[nH]c(=O)[nH]1
ZINC40829875	NC(=O)Nc1ccc(NS(=O)(=O)c2ccc(=O)[nH]c2)cc1
ZINC44977398	[NH3+]CC#Cc1ccc(S(=O)(=O)NCc2nnn[n-]2)c(Cl)c1
ZINC46694912	CC(NC(N)=O)C(=O)Nc1ccc2oc(=O)[nH]c2c1
ZINC47651406	CC(=O)NCCNC(=O)Nc1ccc2[nH]c(=O)[nH]c2c1
ZINC48421567	Cn1cc(Br)cc1C(=O)NNC(=O)CNC(N)=O
ZINC48668294	CC(O)CNC(=O)C(=O)Nc1cc2c(cc1Cl)NC(=O)CO2
ZINC48890291	NC(=O)Nc1ccc(NC(=O)c2cn[nH]n2)cc1
ZINC48919196	Cc1n[nH]c(C(=O)Nc2ccn(CC(N)=O)n2)c1Br
ZINC49095001	Cc1ccc(C(=O)NNC(=O)CC2NC(=O)NC2=O)s1
ZINC49430769	CNC(=O)NC(C)(C)C(=O)NNC(=O)NC1CCCC1
ZINC49477092	CC(C)NC(=O)NNC(=O)c1ccc(S(N)(=O)=O)cc1
ZINC49520465	CC(NC(N)=O)C(=O)Nc1ccc2nc[nH]c(=O)c2c1
ZINC50212939	CCCn1c(N)c(NC2CCCNC2=O)c(=O)[nH]c1=O
ZINC51092264	NNc1ccc(C(=O)Nc2cccc(S(N)(=O)=O)c2)nn1
ZINC51121000	NNc1c(Cl)cc(C(=O)N2CCCC(O)C2)cc1[N+](=O)[O-]
ZINC51121465	NNc1c(Cl)cc(C(=O)N2CCC(O)CC2)cc1[N+](=O)[O-]
ZINC54415497	NNc1cc(C(=O)NC2CCS(=O)(=O)C2)ccc1[N+](=O)[O-]
ZINC48723166	NS(=O)(=O)c1ccc(CNC(=O)c2n[nH]c(=O)[nH]2)cc1
ZINC51093973	NNc1ccc(C(=O)NC2CCCNC2=O)cc1[N+](=O)[O-]
ZINC61594097	CC(C)n1c(Sc2ccc(S(N)(=O)=O)cc2N)n[nH]c1=O
ZINC61686052	NNc1ccc(C(=O)Nc2cnoc2)cc1[N+](=O)[O-]
ZINC61712732	NNc1ccc([N+](=O)[O-])cc1S(=O)(=O)N1CCC(O)C1
ZINC61888050	Cc1n[nH]c(C)c1S(=O)(=O)NC1CCCC1/C(N)=N/O
ZINC63269138	CC(C)NC(=O)NNC(=O)Cn1c(=O)[nH]c2ccccc2c1=O
ZINC18192267	CC(=O)Nc1cc(N/C(N)=N/[N+](=O)[O-])ccc1C
ZINC64788355	C=CCN1C(=O)NC(=O)/C(=C2\CC(c3ccc(O)cc3)NN2)C1=O
ZINC65995195	CC(NC(=O)NNC(N)=O)c1ccc(N2CCCC2=O)cc1
ZINC66134263	Cc1nc(N)nc(-c2ccc([N+](=O)[O-])cc2)c1C(=O)NN
ZINC67098530	Cc1nc(CO/N=C(\N)C2=C(N)C3(CCCC3)N(C)C2=O)no1
ZINC03838719	CC(=O)N1CCN(C(=O)NC2CCCCC2)C(C(=O)NC(C)C(N)=O)C1
ZINC01781710	O=C(CNc1n[nH]c(=O)[nH]c1=O)N/N=C/c1ccc2c(c1)OCO2
ZINC03356440	NS(=O)(=O)c1ccc(NC(=O)CNC(=O)c2ccc3c(c2)OCO3)cc1
ZINC13582171	CC(=O)Nc1cccc(NS(=O)(=O)c2ccc3[nH]c(=O)c(=O)[nH]c3c2)c1
ZINC14265814	Cc1cc(NC(=O)C(C)SCC(=O)Nc2ccc3[nH]c(=O)[nH]c3c2)no1
ZINC15931638	COc1n[nH]c(C(=O)NCc2ccc(S(N)(=O)=O)cc2)c1[N+](=O)[O-]
ZINC19293101	O=C(CCN1C(=O)NC2NC(=O)NC21)Nc1ccc(N2CCCC2)c(F)c1
ZINC36390036	CCNC(=O)NC(=O)CN1CCN(CC(=O)NC(=O)NCC)C(C)C1
ZINC39559592	Cc1nn(C)c(Cl)c1C(=O)NCC(=O)Nc1ccc2[nH]c(=O)[nH]c2c1
ZINC45841524	CNC(=O)c1ccc(CNC(=O)NNC(=O)Cn2nc(C)cc2C)cc1
ZINC46525089	COC(=O)Nc1ccc(NC(=O)CCc2c(C)[nH]c(=O)[nH]c2=O)cc1
ZINC46977616	COC(=O)Nc1ccc(CNC(=O)NNC(=O)Cn2nc(C)cc2C)cc1
ZINC49054145	CCNC(=O)C(C)NC(=O)C(=O)Nc1cc2c(cc1Cl)NC(=O)CO2
ZINC50674154	CNC(=O)CCNS(=O)(=O)c1c(N)cc([N+](=O)[O-])cc1F
ZINC50703153	CS(=O)(=O)NCCNC(=O)c1cc(N)c(F)cc1[N+](=O)[O-]
ZINC51807959	C#CCNC(=O)CNC(=O)C(=O)Nc1cc2c(cc1Cl)NC(=O)CO2
ZINC52096733	Cn1c[nH+]c(S(=O)(=O)[N-]c2cccc(NS(N)(=O)=O)c2)c1
ZINC55857875	CCNC(=O)c1ccc(C)c(NCC(=O)NN2C(=O)NC(C)(CC)C2=O)c1
ZINC55875640	CCC1(C)NC(=O)N(NC(=O)CNc2cccc(NC(=O)OC)c2)C1=O
ZINC55881703	CCNC(=O)c1ccc(NCC(=O)NN2C(=O)NC(C)(CC)C2=O)c(C)c1
ZINC56476256	CNC(=O)COc1ccc(CNC(=O)NNC(=O)c2cc(C)oc2C)cc1
ZINC56850337	CC1CC(C)(C)CC2(C1)NC(=O)N(CC(=O)NCCS(N)(=O)=O)C2=O
ZINC57029426	O=C(NNC(=O)c1csc(N2CCOCC2)n1)Nc1cn[nH]c1
ZINC23468564	CCNC(=O)NC(=O)CN1CCN(CC(=O)NC(=O)NCC)CC1
ZINC57769912	O=C(NCc1ccco1)NNC(=O)c1n[nH]c(=O)c2ccccc12
ZINC20555614	COc1ccc(OC)c(N/C(N)=N/c2nc(C)c(CC#N)c(=O)[nH]2)c1
ZINC59879046	CC(=O)NNC(=O)C(C)Sc1n[nH]c(N/N=C/c2ccc(F)cc2)n1
ZINC50657216	CNc1ccc([N+](=O)[O-])c(S(=O)(=O)NCCS(N)(=O)=O)c1
ZINC60415077	O=C(CCn1c(=O)[nH]c(=O)c2ccccc21)NNC(=O)NCC(F)(F)F
ZINC61720490	NC(=O)C1CCN(c2nc3c(c(=O)[nH]2)C(c2ccncc2)CC(O)=N3)CC1
ZINC61720490	NC(=O)C1CCN(c2nc3c(c(=O)[nH]2)C(c2ccncc2)CC(=O)N3)CC1
ZINC62630323	CC(=O)Nc1ccc(NC(=O)C(=O)NC(C)C(=O)NCc2ccco2)cc1
ZINC39936155	CC1NNC(=O)C2=C1C(C)OC2NC(=O)CSC1NN=C(C2CC2)O1
ZINC63329353	CNC(=O)C1CCC(NC(=O)NNC(=O)c2ccc3c(c2)OCCO3)CC1
ZINC63533236	CNS(=O)(=O)c1cccc(C(=O)NCC(=O)Nc2cn[nH]c2)c1
ZINC39355737	COc1cc(C(C2=C(O)N=NC2C)c2c(O)n[nH]c2C)cc([N+](=O)[O-])c1O
ZINC63955998	NC(=O)c1ccc(OCC(=O)NNC(=O)c2ccc3c(c2)OCO3)cc1
ZINC64215379	CCN1NC(C(=O)NNC(=O)c2ccc3[nH]cnc3c2)c2ccccc2C1=O
ZINC64427679	CC(C)(C)NS(=O)(=O)c1ccc(C(=O)NNC(=O)NC2CC2)o1
ZINC65205681	COCCCNC(=O)NNC(=O)Cn1c(=O)[nH]c2ccccc2c1=O
ZINC65331014	Cc1sc2nc[nH]c(=O)c2c1C(=O)Nc1ccc(S(N)(=O)=O)nc1
ZINC65623348	CCNC(=O)NNC(=O)CNC(=O)c1ccc(OC)c(OC)c1
ZINC65920750	O=C(CCN1C(=O)NC2(CCCC2)C1=O)NNC(=O)NC1CCCC1
ZINC66320156	CC(=O)NCC(=O)NCC(=O)Nc1cccc(-c2n[nH]c(C)n2)c1
ZINC66373972	Cn1cc(-c2ncc(C(=O)Nc3cccc(NS(N)(=O)=O)c3)s2)cn1
ZINC66637120	CCn1c(CNC(=O)C(C)NC(=O)c2n[nH]c3ccccc23)n[nH]c1=S
ZINC67043271	Cc1nc2cc(=O)[nH]n2c(C)c1CC(=O)Nc1cccc(S(N)(=O)=O)c1
ZINC67119061	CC(NC(=O)c1n[nH]c2ccccc12)C(=O)NCCc1n[nH]c(=S)n1C
ZINC67324121	COC(=O)Nc1cc(NC(=O)NCCNC(=O)c2cccnc2)ccc1F
ZINC18655377	NC(=O)c1ccc(-c2nnn(CC(=O)NC(=O)NCC(F)(F)F)n2)cc1
ZINC67447285	Cc1cc(C(=O)N2CCc3c(nc(-c4ccc(C(N)=O)cc4)[nH]c3=O)C2)[nH]n1
ZINC09607542	O=C(Nc1ccc2[nH]c(=O)c(=O)[nH]c2c1)c1ccco1
ZINC12950107	Cc1[nH]c2ccc(C(=O)NN3CC(=O)NC3=O)cc2c1C
ZINC16696113	Cc1nc(N/N=C/c2cc(=O)[nH]c(=O)[nH]2)sc1C
ZINC19967015	NC(=O)NC(=O)CN1C(=O)C(=O)c2ccc(F)cc21
ZINC30798268	Cc1occc1C(=O)NNC(=O)c1cccc2cn[nH]c12
ZINC35299307	CCNC(=O)NC(=O)C[NH+]1CCCCC1C(=O)[O-]
ZINC35326086	Cc1cc2c(cc1S(N)(=O)=O)Oc1ncccc1C(=O)N2
ZINC37745171	N#Cc1c([N-]S(=O)(=O)c2cn[nH]c2)sc2c1CC[NH2+]C2
ZINC37987154	O=c1[nH]nc(NCC2Cc3ccccc3O2)c(=O)[nH]1
ZINC40166460	CC(=O)Nc1ccc(NC(=O)NC2CCS(=O)(=O)C2)cc1
ZINC40381413	Cc1oncc1C(=O)Nc1ccc(S(N)(=O)=O)cc1F
ZINC40445059	CC(=O)Nc1nc(C(=O)NCc2cc[nH]n2)cs1
ZINC40749729	[NH3+]C1CC2CCC(C1)N2C(=O)c1cc([N+](=O)[O-])c[n-]1
ZINC40832200	O=C1COc2cc(NC(=O)c3cn[nH]c3)c(Cl)cc2N1
ZINC41620016	Cc1c(C(=O)[O-])sc2nc(CN3CC[NH2+]CC3)[nH]c(=O)c12
ZINC42549524	C[NH+]1CCC(NC(=O)NC(=O)CCC(=O)[O-])C1
ZINC42576316	CNC(=O)C(C)NS(=O)(=O)c1c(C)n[nH]c1C
ZINC43551101	COC(=O)NNC(=O)Nc1nc(C)c(C)s1
ZINC44362468	Cc1cc(C(=O)Nc2ccc(S(N)(=O)=O)cc2F)on1
ZINC44528730	[NH3+]CC1CCCN(C(=O)c2cc([N+](=O)[O-])c[n-]2)C1
ZINC44968209	O=C(Nc1nncs1)NC1CCCCNC1=O
ZINC47659210	CNC(=O)Nc1ccccc1CN1C(=O)CNC1=O
ZINC48499002	CNC(=O)C(=O)Nc1ccc(N2CCNC2=O)cc1
ZINC48892252	CNC(=O)c1ccc(NC(=O)c2cn[nH]n2)c(C)c1
ZINC48913953	COC(=O)NCC(=O)NC1CCCCNC1=O
ZINC48927783	CC(NC(N)=O)C(=O)N(C)C1CCS(=O)(=O)C1
ZINC48949674	CNC(=O)NNC(=O)C1CCCN1C(=O)C(C)C
ZINC48949735	CNC(=O)NNC(=O)C1CC(=O)N(C2CCCC2)C1
ZINC49150766	Cc1c(C(=O)NNC(=O)NC2CC2)cnn1C
ZINC49370048	NC(=O)CN1CCN(C(=O)NCc2ccco2)CC1
ZINC49449631	Cc1occc1C(=O)NCC(=O)Nc1cc[nH]n1
ZINC49476064	Cc1n[nH]cc1NC(=O)C(C)NS(C)(=O)=O
ZINC49500148	Cc1nc(C)c(CC(=O)NC2CCCNC2=O)c(=O)[nH]1
ZINC49516284	CN(C)C(=O)c1cccc(NC(=O)Nc2cc[nH]n2)c1
ZINC49519708	NC(=O)NC1CCCN(C(=O)c2cnsn2)C1
ZINC50158286	[NH3+]C1CCN(CC(=O)c2cc([N+](=O)[O-])c[n-]2)CC1
ZINC50650064	Cc1cc[nH]/c(=N\S(=O)(=O)c2cnc(N)nc2)c1
ZINC51146529	CC(=O)N1CCN(Cc2c(C)nn(C)c2NN)CC1
ZINC53918934	CNC(=O)NNC(=O)c1ccc2c(c1)OCO2
ZINC55305528	NS(=O)(=O)c1ccc(F)c(NC(=O)C2COCCO2)c1
ZINC56213942	COC(=O)C(C)NC(=O)c1ccc2[nH]c(=O)[nH]c2c1
ZINC49037508	CC(NS(C)(=O)=O)C(=O)Nc1[nH+]cccc1[O-]
ZINC01745370	Cc1c(O)c2c(c3c1OC(C)(O)C3=O)C(=O)CC(=N)C2=O
ZINC51147526	Cc1sc2nc(Cn3cccnc3=O)nc(NN)c2c1C
ZINC61639333	NNc1ccc(Cl)c(CN2C(=O)COCC2=O)n1
ZINC62220529	CCNS(=O)(=O)Nc1ccc2[nH]c(=O)oc2c1
ZINC65237939	O=C(NC1CC1)C1=NNN2c3ccc(F)cc3NC(=O)C12
ZINC47511994	CC(NC(=O)c1ccc[nH]c1=O)c1ccc2c(c1)NC(=O)CO2
ZINC65512366	Cc1cc(C)c(CNC(=O)NC2CCS(=O)(=O)C2)c(=O)[nH]1
ZINC40387188	CS(=O)(=O)NC1=NCN(CCO)CN1
ZINC40387188	CS(=O)(=O)N=C1NCN(CCO)CN1
ZINC03152690	Cc1[nH]c(=O)[nH]c(=O)c1S(=O)(=O)Nc1cccc(C(=O)[O-])c1
ZINC12956544	NNc1ccc(S(=O)(=O)N2CCCC2C(=O)[O-])cc1[N+](=O)[O-]
ZINC19488524	NC(=O)c1cc([N+](=O)[O-])ccc1NCC(=O)[O-]
ZINC19961301	O=C1CC(C(=O)[O-])c2c(nc(Nc3ccccc3)[nH]c2=O)N1
ZINC20610273	Cc1c(CC(=O)NCC(=O)[O-])c(=O)oc2cc(O)cc(O)c12
ZINC22056143	CC1(C)OC2C(O)C(O)COC2(COS([NH-])(=O)=O)O1
ZINC16449328	O=C1N=C([O-])/C(=C\NNC(=O)c2ccccc2[N+](=O)[O-])C(=O)N1
ZINC35122107	Cc1nc(C2CC2)nc(SCC(=O)NC(N)=O)c1C(=O)[O-]
ZINC35161505	CC(CC(=O)[O-])NS(=O)(=O)c1ccc2[nH]c(=O)[nH]c2c1
ZINC00368254	CC(=O)Nc1ccc(S(=O)(=O)Nc2c(C)nc([O-])[nH]c2=O)cc1
ZINC36895411	NNc1ccc(S(=O)(=O)[N-]c2nncs2)cc1[N+](=O)[O-]
ZINC36895415	Cc1cc([N-]S(=O)(=O)c2ccc(NN)c([N+](=O)[O-])c2)on1
ZINC37116849	NNc1ccc([N+](=O)[O-])cc1S(=O)(=O)[N-]c1nncs1
ZINC37429894	CNC(=O)NC(=O)CCSc1nc(=O)[nH]c(C)c1C(=O)[O-]
ZINC37450409	NC(=O)CC(NC(=O)C1CCCN(C(N)=O)C1)C(=O)[O-]
ZINC37452143	O=C(CN1C(=O)CNC1=O)Nc1ccc(C(=O)[O-])c(O)c1
ZINC37656714	CC(NS(=O)(=O)N1CCCCC1C(=O)[O-])C(N)=O
ZINC37838128	NC(=O)NCC1CCCN(S(=O)(=O)CC(=O)[O-])C1
ZINC17005261	CSC1=NC(=O)/C(=N\Nc2ccc(S(N)(=O)=O)cc2)C(=N)[N-]1
ZINC38549599	O=C1N=C2Oc3ccccc3C(c3c([O-])[nH]c(=O)[nH]c3=O)C2C(=O)N1
ZINC38653842	Nc1ccc(NC(=O)c2ccc([N+](=O)[O-])cc2)cc1S(=O)(=O)[O-]
ZINC39299712	O=C(CN1C=CC(C(=O)[O-])N1)NCc1ccn[nH]1
ZINC39570647	NC(=O)c1ccc([N-]S(=O)(=O)C2C=[NH+]C(C(=O)[O-])=C2)cc1
ZINC04424557	O=C1NC(=O)C2C(N1)Oc1ccccc1C2c1c([O-])[nH]c(=O)[nH]c1=O
ZINC40566481	CNC(=O)CNC(=O)N1CC(O)CC1C(=O)[O-]
