ZINC13547300	N#Cc1sc(=S)n(-c2ccc(F)cc2)c1N
ZINC15547291	CCC1c2ccsc2CC[NH+]1CC(=O)Nc1cccc(S(=O)(=O)/N=C2/CCCN2)c1
ZINC60155506	Cc1ccc(C(CNC(=O)c2cccc(N3NC(=O)C4CC=CCC4C3=O)c2)[NH+](C)C)cc1
ZINC63383452	Cc1ccc(CNC(=O)C(C)NC(=O)C2CC3=c4ccccc4=[NH+]C3C3c4ccccc4C(=O)N23)cc1
ZINC63478290	CCC(C)N1C(=O)C2C(CC3=c4ccccc4=[NH+]C3)NC3(C(=O)Nc4ccc(F)cc43)C2C1=O
ZINC63557188	Cc1ccc2c(c1)SC(NC(=O)C1CC(=O)N(CCC3=c4cc(F)ccc4=[NH+]C3)C1)N2
ZINC63557283	CC1(C)CC(=O)C2=C(C1)NC(NC(=O)C1CC(=O)N(CCC3=c4cc(Cl)ccc4=[NH+]C3)C1)S2
ZINC63789187	CC(C(=O)Nc1cccc(C(F)(F)F)c1)N1C(=O)NC(CC2=c3ccccc3=[NH+]C2)C1=O
ZINC63899668	O=C(CCC(=O)N1CCCC1C1Nc2ccccc2S1)NCCC1=c2ccccc2=[NH+]C1
ZINC64212901	O=C(CN1C(=O)NC2(CCCC2)C1=O)NCC(C1=c2ccccc2=[NH+]C1)C1CC=CS1
ZINC64730318	CC1(c2cccc3ccccc23)NC(=O)N(CC(=O)NCCC2=c3ccccc3=[NH+]C2)C1=O
ZINC65265918	CCn1cc(Cl)c(C(=O)N2CCC3(C2)NCc2ccccc2N/C3=[NH+]\C2CCCC2)n1
ZINC19968766	[NH3+]C(c1cccc(C(F)(F)F)c1)c1ccc2c(c1)OCO2
ZINC20003532	CC1(C)Cc2cccc(OC3CCCCCCC3[NH3+])c2O1
ZINC20143190	CC1CC1c1ccc(CNC2CC(C)(C)[NH2+]C(C)(C)C2)o1
ZINC20372502	Cc1ccc(NC(=O)C2CC3CCCCC3[NH2+]2)c(F)c1
ZINC20553505	[NH3+]C(c1ccc2c(c1)OCCO2)c1cccc(Cl)c1Cl
ZINC31972610	Cc1nc2scc(-c3ccc(C(C)(C)C)cc3)n2c1CC[NH3+]
ZINC33425141	Nc1ccc(Cl)cc1OC1CCCCC1[NH+]1CCCC1
ZINC33425142	Nc1ccc(Cl)cc1OC1CCCCC1[NH+]1CCCC1
ZINC35572004	CC[NH2+]C(c1cc2c(cc1Cl)NC(=O)C2)C1CCCC1
ZINC36244370	Cc1cc(Br)c2nc(C(C)(C)C)c(CC[NH3+])n2c1
ZINC36937470	CC(C)c1[nH+]n(C)c(N)c1-c1c(Cl)cccc1Cl
ZINC37332193	[NH3+]C(c1cccc(Cl)c1)c1cc2c(cc1Cl)OCCO2
ZINC37351190	Cn1[nH+]c(C2CCCC2)c(-c2c(Cl)cccc2Cl)c1N
ZINC37429084	Cc1cc(Cl)c(C(C)C)cc1Oc1cc[nH+]cc1N
ZINC38117224	OCC1([NH+]2CCCNCC2)CCCCCCCCCCC1
ZINC40713227	O=C(CC1CCCC[NH2+]1)Nc1ccc(F)c(C(F)(F)F)c1
ZINC41035414	CC1CCCC([NH3+])(c2nc3cc(Cl)ccc3n2C(C)C)C1
ZINC41164271	[NH3+]C1(c2nc(-c3cccc(OC(F)F)c3)cs2)CCCC1
ZINC42112680	O=C1Nc2c(F)cc(F)cc2C1[NH2+]C1CCCCCCC1
ZINC42118690	CC1CCCC([NH2+]C2C(=O)Nc3c(F)ccc(Cl)c32)C1C
ZINC42118869	O=C1Nc2c(F)ccc(Cl)c2C1[NH2+]CCC1CCCCC1
ZINC42165388	CC(NC(=O)CC1CCC[NH2+]1)C12CC3CC(CC(C3)C1)C2
ZINC42171443	O=C(CC1CCC[NH2+]1)NCC12CC3CC(CC(C3)C1)C2
ZINC42419426	Brc1ccccc1CNc1[nH]c2ccccc2[nH+]1
ZINC42610474	Cc1cc(C)c(C(N)=S)c(N(C)C2CCCCC2C)[nH+]1
ZINC42857382	CC1CCCCC1C[NH2+]C1C(=O)Nc2ccc(Cl)cc21
ZINC43408781	CC1CCCC(N(C)c2[nH+]c3c(cc2C(N)=S)CCC3)C1
ZINC48636605	CC1CCC(C(C)C)C(OC(=O)C2CCC([NH3+])CC2)C1
ZINC49014572	Cc1cc(C)c(C(N)=S)c(N(C)C2CCCC(C)C2)[nH+]1
ZINC49014575	Cc1cc(C)c(C(N)=S)c(N(C)C2CCCC(C)C2)[nH+]1
ZINC49118386	CCC1CCC([NH2+]C2C(=O)Nc3cccc(Cl)c32)CC1
ZINC49350808	CCC(CC)c1[nH+]n(C)c(N)c1-c1cc(F)cc(F)c1
ZINC49510278	Cc1ccc2c(c1)[nH+]c(N)n2C(C)c1cc(C)sc1C
ZINC49671850	Cn1[nH+]c(C2CC3CCC2C3)c(-c2ccccc2F)c1N
ZINC50524117	CCC([NH3+])C(c1ccc(Cl)s1)n1ncc2ccccc21
ZINC50541644	CCn1cc(CC2([NH3+])CCCCC2c2ccccc2)cn1
ZINC51396046	CCCC1CCN(c2ncc(Br)cc2C[NH3+])CC1
ZINC51525282	CCC1CCCCC1Oc1ncc(Br)cc1C[NH3+]
ZINC51525287	CCC1CCCCC1Oc1ncc(Br)cc1C[NH3+]
ZINC52855190	CCC1CCCCC1n1c(C2CC2)[nH+]c2cc(N)ccc21
ZINC53715523	O=C(NC1CC[NH2+]C2(CCCCC2)C1)C1CCCCCC1
ZINC54555926	Cc1cc2ncn(C3CC(C(C)C)CCC3[NH3+])c2cc1C
ZINC54791080	Cc1cc(C(C)(C)C)cc(C)c1Cc1nccc(C[NH3+])n1
ZINC54997967	CCCc1nc(N2CCC3CCCCC3C2)sc1C[NH3+]
ZINC55334177	CC(C)Cc1[nH+]n(C)c(N)c1-c1ccccc1Br
ZINC57804970	CCC([NH3+])Cn1c(C(C)(C)C)nc2cc(Cl)c(Cl)cc21
ZINC46153228	CC1CCCCC12NCC[NH+]=C2NC1CCCCCC1
ZINC62432833	CCc1ccc(Cc2nc3ccc(C)cn3c2C[NH3+])cc1
ZINC62899425	CCC1(C(=O)NC(C)c2ccc(Cl)c(Cl)c2)CC[NH2+]C1
ZINC62899427	CCC1(C(=O)NC(C)c2ccc(Cl)c(Cl)c2)CC[NH2+]C1
ZINC04031333	OC12CCCCC1C(c1cccc(Oc3ccc(Cl)cc3)c1)[NH2+]CC2
ZINC19232853	O=C(Nc1cc(Cl)c(Cl)cc1Cl)C1CC2CCCCC2[NH2+]1
ZINC20004593	CCc1ccc([N+](=O)[O-])cc1C([NH3+])c1ccc(Cl)cc1Cl
ZINC20548745	O=C(Nc1cc(Cl)ccc1Cl)C1CC2CCCCC2[NH2+]1
ZINC20555368	COc1c(Br)cc(Cl)cc1C([NH3+])c1cccc(Cl)c1
ZINC13729153	OC12CC3CC(C1)CC([NH2+]C/C=C/c1ccc(Cl)cc1)(C3)C2
ZINC21304044	Cc1cc(C)c(C([NH3+])c2cc(C)c(C)c([N+](=O)[O-])c2)c(C)c1
ZINC32212787	Cc1cc(C)c(OC(C[NH3+])c2ccc3c(c2)CCCC3)c(C)c1
ZINC31912779	CC(C)(C)c1nc2ccc(Cl)cn2c1C([NH3+])c1ccccc1
ZINC35284626	O=C(Nc1cc(Cl)ccc1F)C1CC2CCCCC2[NH2+]1
ZINC35719784	Cc1ccc(Cl)c(Oc2ccc(C(F)(F)F)cc2C[NH3+])c1
ZINC36813189	CCC(CC)N(C)c1c(N)c[nH+]c2ccc(Br)cc12
ZINC36937459	Cn1[nH+]c(C2CCCCC2)c(-c2c(Cl)cccc2Cl)c1N
ZINC37014518	CC(NC(=O)C1CC2CCCCC2[NH2+]1)c1ccccc1Br
ZINC37034336	CC(C)Oc1ccc(C([NH3+])c2cc(F)cc(Br)c2)cc1
ZINC37365870	CC(C)Oc1ccc(C([NH3+])c2ccc(Br)cc2Cl)cc1
ZINC37379181	CCOc1ccccc1C([NH3+])c1cc(Cl)sc1Cl
ZINC00201197	Cc1ccc(Nc2c(-c3c[nH]c4ccccc34)[nH+]c3ccccn23)cc1
ZINC36273569	CC1(C)CC2CC(C)(C[NH+]2Cc2c(C(C)(C)C)nc3ccc(N)cn23)C1
ZINC40832647	O=C(NCCc1cccc(Cl)c1)C1CC2CCCCC2[NH2+]1
ZINC41181367	Cc1sc(C2([NH3+])CCCC(C)C2)nc1-c1cccc(Cl)c1
ZINC42908958	Cc1ccc(C(C)N(C)C(=O)NC2CC(C)(C)[NH2+]C(C)(C)C2)cc1
ZINC42967977	Cc1cccc(C(Oc2cc(Cl)ccc2Cl)C(C)[NH3+])c1
ZINC43088426	Cc1ccc(Cl)c(OC(c2ccccc2Cl)C(C)[NH3+])c1
ZINC43255268	CC([NH3+])C(Oc1cccc2ccccc12)c1ccc(Cl)s1
ZINC43255903	Cc1cc(OC(c2ccc(Cl)s2)C(C)[NH3+])ccc1Cl
ZINC43256630	CC([NH3+])C(Oc1ccc(Cl)c(Cl)c1)c1ccc(Cl)s1
ZINC43263777	Cc1ccc(OC(c2ccc(Br)s2)C(C)[NH3+])c(C)c1
ZINC43263990	Cc1cc(C)cc(OC(c2ccc(Br)s2)C(C)[NH3+])c1
ZINC43264181	CC([NH3+])C(Oc1cccc2ccccc12)c1ccc(Br)s1
ZINC43405960	[NH3+]Cc1cc2c(nc1Oc1cc(Cl)c(Cl)cc1Cl)CCC2
ZINC44928666	Cc1ccc(-n2c(C)c(C)c3c(N)c4c([nH+]c32)CCCC4)c(C)c1
ZINC46152970	Cc1cc2c(cc1C)NC1(CCCCC1C)/C(=[NH+]/Cc1cccc(F)c1)N2
ZINC46153036	Cc1cccc(C/[NH+]=C2\Nc3ccccc3NC23CCCCCC3)c1
ZINC49610772	[NH3+]CC#Cc1cccc(COc2cc(Cl)c(Cl)cc2Cl)c1
ZINC51570183	[NH3+]Cc1nc(Oc2ccc(Br)cc2Cl)ccc1Cl
ZINC54349411	Cc1ccc(OC(c2cc(Br)cs2)C(C)[NH3+])c(Cl)c1
ZINC54349414	Cc1ccc(OC(c2cc(Br)cs2)C(C)[NH3+])c(Cl)c1
ZINC54349632	Cc1ccc(OC(c2ccc(Cl)s2)C(C)[NH3+])c(Cl)c1
ZINC54349635	Cc1ccc(OC(c2ccc(Cl)s2)C(C)[NH3+])c(Cl)c1
ZINC55262213	CC(C)Oc1ccc(C(C)([NH3+])c2cccc(Br)c2)cc1
ZINC59170905	CCOc1cccc2cc(C(N)=S)/c(=[NH+]/c3ccc(Cl)cc3)oc12
ZINC61692480	O=C(Nc1cc(Br)ccc1Cl)C1CC2CCCCC2[NH2+]1
ZINC61699994	C[NH2+]C(C)c1ccc(Sc2nc3ccccc3[nH]2)c(Cl)c1
ZINC62012108	CC(c1cccc(Cl)c1)N(C)c1ccc(Cl)cc1C[NH3+]
ZINC63743622	O=C(Nc1cccc(C2C=c3ccccc3=[NH+]2)c1)Nc1ccc(F)cc1F
ZINC63743744	Cc1ccc(NC(=O)Nc2ccc(C3C=c4ccccc4=[NH+]3)cc2)cc1
ZINC63746799	Cc1ccc(NC(=O)Nc2ccccc2C2C=c3ccccc3=[NH+]2)cc1C
ZINC63746994	O=C(Nc1ccccc1C1C=c2ccccc2=[NH+]1)NC1CCCCC1
ZINC66345772	Nc1cc(-c2ccc(OC(F)(F)F)cc2)[nH+]n1C1CCCCC1
ZINC00144231	CNc1ccc(Cl)cc1C(=O)NC1CC(C)CC(C)(C)C1
ZINC00162335	O=C(Nc1cccc2[nH]ccc12)c1cccc(C(F)(F)F)c1
ZINC04699779	O=C(NCc1cccs1)c1cc2cc(Cl)ccc2[nH]1
ZINC12492408	Cc1ccc2cc(CNc3ccc(C)c(Cl)c3)c(=O)[nH]c2c1
ZINC12492463	Cc1ccc2[nH]c(=O)c(CNc3ccc(C)c(Cl)c3)cc2c1
ZINC22326711	Cc1ccc2[nH]c3c(c2c1)CC(NC(=O)CC1C=CCC1)CC3
ZINC22327209	Cc1cccc2c3c([nH]c12)CCC(NC(=O)CC1C=CCC1)C3
ZINC30552603	Cc1cc(C(=O)NNc2ccc(C)c(Cl)c2)c(C)s1
ZINC31662831	Cc1cc(C(C)NC(=O)Nc2ccc(F)cc2)c(C)s1
ZINC31662837	Cc1cc(C(C)NC(=O)Nc2cccc(Cl)c2)c(C)s1
ZINC32802914	CC1CCC(NC(=O)NC2CCCC(C(F)(F)F)C2)CC1
ZINC35342913	Cc1nc2cc(OC(C)c3ccccc3)c(N)cc2s1
ZINC36921180	Cn1ncc2c1CCCC2[NH2+]C1CCCCC1C(C)(C)C
ZINC36990753	O=C1Cc2cc(NCc3cccc(Cl)c3)c(Cl)cc2N1
ZINC36990763	CC(Nc1cc2c(cc1Cl)NC(=O)C2)c1cccs1
ZINC37181337	Nc1ccc(SCc2cc(Cl)cc3c2OCOC3)cc1
ZINC37190779	Nc1cccnc1SCc1cc2ccccc2nc1Cl
ZINC37784094	Brc1csc(CNc2cccc3[nH]ncc23)c1
ZINC38113305	OCC1(Nc2ccccc2Cl)CCOc2ccccc21
ZINC40232747	O=C(Nc1ccccc1Cl)c1ccc(C#CCCO)s1
ZINC40232901	CC1CCCC(NC(=O)c2ccc(C#CCCO)s2)C1C
ZINC40282694	O=c1[nH]c2ccc(C(Br)CC3CCCC3)cc2[nH]1
ZINC40629016	CC(N(C)C(=O)c1cc2ccccc2cc1N)C(C)(C)C
ZINC41483881	CC(C)Cc1cc(N)n(-c2ccc(Br)cc2)n1
ZINC41659690	O=C([O-])C1([NH2+]C2CCCCCC2)CCSc2ccccc21
ZINC41716553	O=C(Nc1cccc2c1NCCC2)C(Cl)c1ccccc1
ZINC06981301	O=C(NNc1c(F)c(F)c(F)c(F)c1F)C1CCCCC1
ZINC43177396	CC1CC1CNC(=O)Nc1c(F)c(F)c(F)c(F)c1F
ZINC45047645	CC1(NC(=O)c2ccc(C#CCCO)s2)CCCCC1
ZINC45866928	CC(NC(=O)NCC#Cc1ccccc1)c1cccs1
ZINC45866929	CC(NC(=O)NCC#Cc1ccccc1)c1cccs1
ZINC48425647	O=C(NNc1ccc(Br)cc1)C1CC=CCC1
ZINC48425682	O=C(NNc1ccc(Br)cc1)c1ccccc1F
ZINC48425868	O=C(NNc1ccc(Br)cc1)C1CC2CCC1C2
ZINC48955015	Cc1ccc(C(C)NC(=O)Nc2ccc(F)cc2F)s1
ZINC49730812	Cn1nc(CC2CC2)c(-c2c(Cl)cccc2Cl)c1N
ZINC49965976	Cc1cc(C)c(C(N)=S)c(N(C)c2ccc(F)cc2)n1
ZINC50834037	Nc1nc(CSc2ccccc2Cl)nc2sccc12
ZINC50845428	CCc1c(C)nc(Cc2cccc(Br)c2)nc1N
ZINC52853282	Cc1ccc(Cn2c(C(C)C)nc3cc(N)ccc32)s1
ZINC52853989	CCc1nc2cc(N)ccc2n1C(C)c1ccc(Cl)s1
ZINC52906842	CN(Cc1cc(N)ccc1Cl)c1cccc(Cl)c1C#N
ZINC54933091	NC(=S)c1cc2c(nc1Oc1cc(F)cc(F)c1)CCC2
ZINC42103716	CCc1ccc2c(c1)C(Nc1cc(F)cc(F)c1)C(=O)N2
ZINC19232977	CSc1cccc(NC2C(=O)Nc3ccc(Cl)cc32)c1
ZINC61850340	CCc1c(C)nn(-c2ccc(C(N)=S)c(Cl)c2)c1C
ZINC61891390	N#CC1CCCC1NCc1cc(Cl)cc(Cl)c1O
ZINC63058480	CNc1ccc(C(=O)Nc2cc(F)c(F)cc2F)cc1C
ZINC63107489	CCN(C(=O)c1cc2c(s1)CCCC2)c1cccc(N)c1
ZINC21056083	CC(NC1C(=O)Nc2ccc(Cl)cc21)c1cccc(F)c1
ZINC09953087	CC(Sc1nnc(C(C)[NH+]2CCCCC2)n1-c1ccc(F)cc1)C(=O)NCCC1=CCCCC1
ZINC08913755	CC[NH+]1CCCC1CNC(=O)c1ccc(Cn2c(SCc3ccc(F)cc3)nc3cccnc32)cc1
ZINC14359265	Cc1cccc(/N=C2\SC(CC(=O)Nc3ccccc3F)C(=O)N2CC(C)(C)C[NH+](C)C)c1C
ZINC14998624	CC(C)CC1(C2CC[NH+](Cc3ccnc4ccccc34)CC2)NC(=O)N(CCc2cccs2)C1=O
ZINC15006544	CN(Cc1cccc2cccnc12)C(=O)c1cc2cc(C3(O)CC[NH+](CC(C)(C)C)CC3)ccc2o1
ZINC15067756	CC(C)=CC[NH+]1CCC(O)(c2ccc3oc(C(=O)N(C)Cc4ccc5ncccc5c4)cc3c2)CC1
ZINC20179237	CC[NH+](CC)CCNC(=O)c1ccc(/C=C2\Oc3ccccc3N(Cc3ccccc3F)C2=O)cc1
ZINC21300065	O=C1CC(C(F)(F)F)N(C(=O)C[NH+]2CCN(Cc3ccc(Cl)s3)CC2)c2ccccc2N1
ZINC21915146	CC[NH+](CCCNC(=O)c1c2c(nc3ccccc13)C(=O)N(C1CCCCC1)C2)Cc1ccccc1
ZINC27364791	CC[NH+]1CCC(NC(=O)CSc2nc3sc4c(c3c(=O)n2CCC(C)C)CCC(C)C4)CC1
ZINC30974171	Cc1cccc(-c2noc(C[NH+]3CCC(C(=O)NCCSCc4ccccc4Cl)CC3)n2)c1
ZINC30974174	Cc1cccc(-c2noc(C[NH+]3CCC(C(=O)NCCSCc4cccc(Cl)c4)CC3)n2)c1
ZINC30975558	Cc1ccc(-c2noc(C[NH+]3CCC(C(=O)NCCSCc4ccccc4Cl)CC3)n2)cc1
ZINC30975561	Cc1ccc(-c2noc(C[NH+]3CCC(C(=O)NCCSCc4cccc(Cl)c4)CC3)n2)cc1
ZINC30982501	O=C(NCCSCc1ccc(Cl)c(Cl)c1)C1CC[NH+](Cc2nc(-c3ccc(F)cc3)no2)CC1
ZINC30985115	Cc1ccc(CSCCNC(=O)C2CC[NH+](Cc3nc(-c4cccc(Cl)c4)no3)CC2)cc1
ZINC30985243	Cc1cccc(CSCCNC(=O)C2CC[NH+](Cc3nc(-c4cccc(Cl)c4)no3)CC2)c1
ZINC30985272	Cc1ccccc1CSCCNC(=O)C1CC[NH+](Cc2nc(-c3cccc(Cl)c3)no2)CC1
ZINC31048679	Cc1cccc(CSCCNC(=O)C2CCC[NH+](Cc3nc(-c4ccccc4Cl)no3)C2)c1
ZINC31048748	Cc1ccccc1CSCCNC(=O)C1CCC[NH+](Cc2nc(-c3ccccc3Cl)no2)C1
ZINC31052232	Cc1cccc(CSCCNC(=O)C2CCC[NH+](Cc3nc(-c4cccc(Cl)c4)no3)C2)c1
ZINC31052299	Cc1ccccc1CSCCNC(=O)C1CCC[NH+](Cc2nc(-c3cccc(Cl)c3)no2)C1
ZINC31052310	O=C(NCCSCc1c(F)cccc1Cl)C1CCC[NH+](Cc2nc(-c3cccc(Cl)c3)no2)C1
ZINC32734805	CCc1ccc(C(CNC(=O)c2ccccc2SCC(=O)N2CCc3ccccc32)[NH+](C)C)cc1
ZINC35714646	CC(c1ccccc1)[NH+](Cc1ccc(Cl)c(Cl)c1)Cc1nc(C(=O)NCc2ccco2)co1
ZINC36812124	CCc1ccccc1NC(=O)CSc1nc2sc3c(c2c(=O)n1CCC[NH+](C)C)CCCC3
ZINC38872644	O=C(NCCSCc1ccc(F)cc1)C1CC[NH+](Cc2nc(-c3ccc(Cl)cc3Cl)no2)CC1
ZINC38886559	Cc1ccccc1-c1noc(C[NH+]2CCCC(C(=O)NCCSCc3ccccc3Cl)C2)n1
ZINC38886565	Cc1ccccc1-c1noc(C[NH+]2CCCC(C(=O)NCCSCc3cccc(Cl)c3)C2)n1
ZINC38889751	Cc1ccc(-c2noc(C[NH+]3CCCC(C(=O)NCCSCc4ccccc4Cl)C3)n2)cc1
ZINC38889754	Cc1ccc(-c2noc(C[NH+]3CCCC(C(=O)NCCSCc4ccccc4Cl)C3)n2)cc1
ZINC39405097	COC1C(NC(=O)Cc2cccs2)c2ccccc2C12CC[NH+](CC1C=C(CC(C)C)N=N1)CC2
ZINC40313791	Cc1ccccc1OCC(O)C[NH+](Cc1ccc(-c2cc(Cl)ccc2Cl)o1)C1CCS(=O)(=O)C1
ZINC40317834	CC(C)c1ccc(C[NH+](CC(O)COc2ccc(Cl)cc2Cl)C2CCS(=O)(=O)C2)cc1
ZINC40317837	CC(C)c1ccc(C[NH+](CC(O)COc2ccc(Cl)cc2Cl)C2CCS(=O)(=O)C2)cc1
ZINC40323086	CC(C)c1ccc(C(CNC(=O)c2ccc(S(=O)(=O)c3ccc(Br)cc3)o2)[NH+](C)C)cc1
ZINC44876319	CC1CC[NH+](Cc2ccc(CNC(=O)CN(c3ccc(C(C)(C)C)cc3)S(C)(=O)=O)cc2)CC1
ZINC44878657	CC1CCC[NH+](Cc2ccc(CNC(=O)CN(c3ccc(C(C)(C)C)cc3)S(C)(=O)=O)cc2)C1
ZINC44878660	CC1CCC[NH+](Cc2ccc(CNC(=O)CN(c3ccc(C(C)(C)C)cc3)S(C)(=O)=O)cc2)C1
ZINC35451464	Cc1ccccc1Cn1c(C[NH+]2CCC(C(=O)NCCc3c(C)noc3C)CC2)cc2ccccc21
ZINC36038431	CCC(C)CN1C(=O)C(CC(C)C)[NH2+]C12CCN(S(=O)(=O)c1cccc(C(F)(F)F)c1)CC2
ZINC55042410	CCCC1(C2CCN(C/C(Cl)=C/c3ccccc3)CC2)NC(=O)N(CCC2CCC[NH+]2C)C1=O
ZINC55042411	CCCC1(C2CCN(C/C(Cl)=C/c3ccccc3)CC2)NC(=O)N(CCC2CCC[NH+]2C)C1=O
ZINC57774844	Cc1ccccc1-c1ncc(C[NH+]2CCCCC2CC(NC(=O)CC(C)(C)C)c2ccccn2)cn1
ZINC59446227	COc1ccc(N/C(=[NH+]/CCc2ccccc2)SC2CC(=O)N(c3ccc(C)cc3C)C2=O)cc1
ZINC63514557	C=CCc1cccc2c1OC(=O)C(C(=O)NCCC1=c3cc(OC(F)(F)Cl)ccc3=[NH+]C1C)C2
ZINC63557980	O=C(Nc1ccc(OCc2ccccc2)cc1)C1CC(=O)N(CCC2=c3cc(Cl)ccc3=[NH+]C2)C1
ZINC64417744	C=C(C)COc1cc2c(cc1Cl)C(C)C(CC(=O)NCCC1=c3cc(F)ccc3=[NH+]C1)C(=O)O2
ZINC64417746	C=C(C)COc1cc2c(cc1Cl)C(C)C(CC(=O)NCCC1=c3cc(F)ccc3=[NH+]C1)C(=O)O2
ZINC64417749	C=C(C)COc1cc2c(cc1Cl)C(C)C(CC(=O)NCCC1=c3cc(F)ccc3=[NH+]C1)C(=O)O2
ZINC02140373	O=C(COc1ccc(F)cc1)NC([NH+]1CC2CC(C1)c1cccc(=O)n1C2)C(Cl)(Cl)Cl
ZINC03336246	O=C(C[NH+]1CCN(S(=O)(=O)c2ccc(Br)s2)CC1)NCc1ccccc1Cl
ZINC02386264	CCn1c(SCC(=O)Nc2ccc(Br)cc2)nc2sc3c(c2c1=O)CC[NH+](C)C3
ZINC08781523	O=C(CC(=O)N1CCN(c2[nH+]cc(C(F)(F)F)cc2Cl)CC1)Nc1ccc(Cl)c(Cl)c1
ZINC08790193	CC12CCCC3(CO3)C1CC1C(C2)OC(=O)C1C[NH2+]CCC(Cc1ccccc1)c1ccco1
ZINC08790196	CC12CCCC3(CO3)C1CC1C(C2)OC(=O)C1C[NH2+]CCC(Cc1ccccc1)c1ccco1
ZINC09591496	O=C(C(Sc1ccccc1)c1ccccc1)N1CC[NH+](Cc2nc3ccccc3c(=O)[nH]2)CC1
ZINC09775569	O=C(C[NH+]1CCCN(S(=O)(=O)c2ccc(Br)s2)CC1)Nc1ccc(F)c(Cl)c1
ZINC12038676	Cc1ccsc1C1Cc2c(C(=O)NCC[NH+]3CCOCC3)c(=O)cc(C)n2-c2ccccc2S1
ZINC12131770	COC1C(NC(=O)c2cccs2)c2ccccc2C12CC[NH+](Cc1nc(C(C)C)cs1)CC2
ZINC12162772	CC[NH+]1CCCC1CNC(=O)c1c2n(c(C)cc1=O)-c1ccccc1SC(c1ccsc1)C2
ZINC12281013	CC1(C2CC[NH+](Cc3ccccc3C(F)(F)F)CC2)NC(=O)N(Cc2ccc(F)cc2)C1=O
ZINC12886347	Cc1cc(I)ccc1NC(=O)C[NH+](C)C(C)c1ccc(-n2cncn2)cc1
ZINC09174341	C[NH+](C)CCN1C(=O)C(=O)/C(=C(/O)c2cc3ccccc3o2)C1c1cccc(Br)c1
ZINC14732458	CC(=O)Nc1ccc(C[NH+]2CCc3c(cc(-c4cccc5nc(C)ccc45)c(=O)n3CC3CC3)C2)s1
ZINC14931808	CC(C(=O)Nc1ccccc1Cl)[NH+]1CCN(S(=O)(=O)c2ccc(C(F)(F)F)cc2)CC1
ZINC20436907	O=C(CN(C1=[NH+]C2CS(=O)(=O)CC2S1)c1ccc(F)cc1)Nc1ccccc1C(F)(F)F
ZINC20437052	O=C(CN(C1=[NH+]C2CS(=O)(=O)CC2S1)c1ccccc1F)Nc1ccccc1C(F)(F)F
ZINC15030611	CC(C(=O)Nc1cccc(Br)c1)[NH+]1CCCN(c2ccc(C(F)(F)F)cn2)CC1
ZINC25184030	O=C(NC1CC1)c1ccc(C[NH+](CCS(=O)(=O)c2cc(Cl)ccc2Cl)C2CC2)cc1
ZINC29070042	Cc1ccc(NC(=O)C[NH+](C)C(C)c2ccc(-n3cncn3)cc2)cc1I
ZINC16587517	CC(C(=O)NC1CCCCC1)[NH+]1CCN(S(=O)(=O)c2ccc(Br)cc2Cl)CC1
ZINC31579197	O=C(C[NH+]1CCN(S(=O)(=O)c2ccc(Br)s2)CC1)Nc1ccc(F)c(Cl)c1
ZINC32624593	CC(C)(C)c1ccc(C(Cn2cnc3c4c(sc3c2=O)SCC(=O)N4)[NH+]2CCCC2)cc1
ZINC35871424	C[NH+](C)CCNC(=O)C1Cc2cc(C(F)(F)F)ccc2N2CCN(c3ccccc3C#N)CC12
ZINC36065442	O=C(NC1CC1)c1coc(C[NH+](Cc2cccc(C(F)(F)F)c2)Cc2ccc(F)cc2F)n1
ZINC22457533	CC[NH+]1CCN(C(c2cccs2)C(C)NS(=O)(=O)c2ccc(Br)cc2)CC1
ZINC38733642	O=C(N[n+]1c(-c2ccccc2)csc1Nc1ccc(F)cc1)c1ccccc1OC(F)(F)F
ZINC38904755	O=C(NC1CCCc2ccccc21)C1CCC[NH+](Cc2nc(-c3cccc(Br)c3)no2)C1
ZINC39301819	Cc1nn(-c2ccc(C(F)(F)F)cc2)c(C)c1C(=O)NCC1CC[NH+](Cc2ccsc2)CC1
ZINC23469918	CC1CCN(C(=O)C(C)N2CC[NH+](CC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)CC2)CC1
ZINC39466968	CC(C)S(=O)(=O)C1=CC2CC3COP(=O)(Cc4ccccc4)N[NH+]3CC2C=C1Cc1ccccc1
ZINC40317864	O=S1(=O)CCC([NH+](Cc2ccc(F)cc2)CC(O)COc2ccc(Cl)cc2Cl)C1
ZINC40317867	O=S1(=O)CCC([NH+](Cc2ccc(F)cc2)CC(O)COc2ccc(Cl)cc2Cl)C1
ZINC35087376	COC12CC3CC(C1)C(NC(=O)C(C)[NH+]1CCN(c4ccc(C(F)(F)F)cn4)CC1)C(C3)C2
ZINC40930484	O=C(NCc1ccc(Br)cc1)C1CC[NH+](Cc2nc(-c3cccs3)no2)CC1
ZINC43742678	Cc1ccc(C(CC[NH2+]CC2C(=O)OC3CC4(C)CCCC5(CO5)C4CC32)c2ccco2)cc1
ZINC43742680	Cc1ccc(C(CC[NH2+]CC2C(=O)OC3CC4(C)CCCC5(CO5)C4CC32)c2ccco2)cc1
ZINC43746350	CC12CCCC3(CO3)C1CC1C(C2)OC(=O)C1C[NH+]1CCCC1C(O)(c1ccccc1)c1ccccc1
ZINC44915144	CCN(CC)C(=O)c1ccccc1NC(=O)C1CC[NH+](Cc2ccc(Br)cc2)CC1
