ZINC13807919	C[NH2+]C[C@H](O)c1cc(O)c(O)cc1F
ZINC42862782	C[C@@H]1CCCC[C@@H]1C[NH2+]CC(=O)NC(N)=O
ZINC43324459	O=c1[nH]c2ccc(N[C@@H]3CCC[NH2+]C3)cc2[nH]1
ZINC43464145	Nc1nc2c(c(C(F)(F)F)n1)C[C@@H]([NH3+])CC2
ZINC44466858	COc1cc(C[C@H]([NH3+])CO)cc(Cl)c1O
ZINC44467377	COc1ccc(C[C@H]([NH3+])CO)c(Br)c1O
ZINC44689440	Nc1cc2c(cc1N[C@H]1CC[N@@H+](C3CC3)C1)NC(=O)C2
ZINC45280523	C[N@@H+](C[C@@](C)(N)C(N)=O)[C@H]1CC[C@@H](C)CC1
ZINC52015537	[NH3+]CC#Cc1ccc(S(=O)(=O)N[C@@H]2CCCC[C@H]2O)cc1
ZINC52015557	[NH3+]CC#Cc1ccccc1S(=O)(=O)N[C@H]1CCCC[C@@H]1O
ZINC52838146	Nc1c(-c2ccc(OC(F)F)cc2)[nH+]cn1N
ZINC52838429	Cc1[nH+]c(-c2ccc(Br)cc2)c(N)n1N
ZINC52838899	CCc1[nH+]c(-c2ccc(C)c(C)c2)c(N)n1N
ZINC52839046	CN(C)c1ccc(-c2[nH+]c(C3CC3)n(N)c2N)cc1
ZINC52839102	Cc1ccccc1-c1[nH+]c(C2CC2)n(N)c1N
ZINC52839786	CC[C@@H](C)c1[nH+]c(C2CCCCC2)n(N)c1N
ZINC53072063	[NH3+]C1(C(=O)NC2(CO)CCCC2)CCCC1
ZINC53114166	C[C@H]1CC[C@@](CO)(Nc2cc(N)cc[nH+]2)CC1
ZINC53127497	C[C@@H]1CCC[C@](CO)(NC(=O)[C@@H]([NH3+])C(C)(C)C)C1
ZINC53127749	CC(C)[C@@H]([NH3+])C(=O)N[C@]1(CO)CCC[C@H](C)C1
ZINC53114243	C[C@H]1CC[C@](CO)(Nc2ccc(N)[nH+]c2)CC1
ZINC53114660	C[C@@H]1CCC[C@@](CO)(Nc2ccc(N)[nH+]c2)C1
ZINC55132371	C[C@@H]1C[C@H](C(=O)N[C@@H]2CCCC[C@@H]2O)CC[C@@H]1[NH3+]
ZINC55132449	[NH3+][C@H]1CCC[C@@H](CC(=O)N[C@@H]2CCCC[C@@H]2O)C1
ZINC00203677	CC1(C)NC(Nc2ccc(F)cc2)=NC(N)=[NH+]1
ZINC58117074	CC[C@@H](C)[C@@H]([NH3+])c1cc2[nH]c(=O)[nH]c2cc1C
ZINC40749098	C[C@@H](c1ccc(O)cc1O)N1[C@H]2CC[C@@H]1C[C@H]([NH3+])C2
ZINC42117765	Cc1cc(Br)cc2c1NC(=O)[C@@H]2NCC[NH3+]
ZINC58790338	C[C@@H]([NH2+]C[C@H]1CC[C@H](C)CC1)C(=O)NC(N)=O
ZINC34927000	[NH2+]=C1NC(=S)N[C@@H](c2ccc(Br)o2)N1
ZINC37152678	NC(=O)[C@H]1CC[C@H]([NH2+][C@@H]2C(=O)Nc3cc(F)ccc32)CC1
ZINC50248515	Cc1sc2nc(CN3CC[C@H](C[NH3+])C3)nc(N)c2c1C
ZINC55088299	[NH3+][C@H]1CCC[C@@H](C(=O)N[C@@H]2CCCC[C@@H]2O)C1
ZINC61099710	Nc1[nH][nH+]cc1Nc1cc(F)c(F)c(F)c1
ZINC61821812	C[C@@](N)(CC[NH+]1CCC2(CCCCC2)CC1)C(N)=O
ZINC62956644	C[C@@](N)(C[NH+]1CCC2(CCCC2)CC1)C(N)=O
ZINC63172885	[NH3+][C@H]1CCC[C@@H]1NC(=O)c1cc(Cl)c[nH]1
ZINC63210844	Cc1n[nH]c(C)c1C(=O)N[C@@H]1CCCCC[C@H]1[NH3+]
ZINC03847223	Oc1cccc(C[NH2+]CCc2ccc(O)c(O)c2)c1
ZINC01713517	Oc1ccc(CC[NH2+]Cc2ccc(O)c(O)c2)cc1
ZINC04899275	CCCc1c2c([nH]c3ccccc32)c2c([n+]1N)CC(C)(C)C/C2=N\N
ZINC00139499	Cc1c(C)c(C)c(S(=O)(=O)NC(N)=[NH2+])c(C)c1C
ZINC19842699	[NH3+][C@@H](c1ccc(F)cc1)c1ccc2[nH]c(=O)[nH]c2c1
ZINC19842763	[NH3+][C@@H](Cc1ccc(F)cc1)c1ccc2[nH]c(=O)[nH]c2c1
ZINC19842856	[NH3+][C@H](Cc1cccc(F)c1)c1ccc2[nH]c(=O)[nH]c2c1
ZINC20263370	NC(=O)c1ccccc1O[C@@H]1Cc2ccccc2[C@@H]1[NH3+]
ZINC20332221	Nc1nc(-c2ccc(OCCC[NH3+])cc2)cs1
ZINC32066409	Nc1ccc2[nH]c3c(c2c1)CCC[C@@H]3C(=O)N1CC[NH2+]CC1
ZINC35379765	Cc1cc([C@@H]([NH3+])c2ccc3[nH]c(=O)[nH]c3c2)c(C)o1
ZINC36268298	NS(=O)(=O)c1ccc(N[C@H]2[C@@H]3C[NH2+]C[C@@H]32)cc1
ZINC37040670	[NH3+]C1(C(=O)Nc2ccccc2CO)CCCCC1
ZINC37272713	Nc1ccc(O)c(C[N@@H+]2CCCC[C@H]2CCO)c1
ZINC37615462	Cc1ccc(NC(=O)[C@@](C)([NH3+])C2CC2)c(C)c1O
ZINC37720762	NC(=O)COc1ccc(Br)cc1CC[NH3+]
ZINC00255080	Nc1[nH+]c(-c2ccc(Cl)cc2Cl)cn1N
ZINC37891152	C[C@H]([NH2+]C[C@H](O)c1cc(F)ccc1F)C(N)=O
ZINC38040559	NS(=O)(=O)c1cccc(NC2CC[NH2+]CC2)c1
ZINC40366374	C[NH+]1CCC(NC(=O)NC(C)(C)C)(C(N)=S)CC1
ZINC42429174	[NH3+]CC[NH2+][C@]1(C(=O)[O-])CCSc2ccccc21
ZINC43242777	Cc1ccc([C@H](C[NH3+])N2CCC(CC(N)=O)CC2)s1
ZINC43540714	CC/C(=C(\N)[NH3+])N1CCN(c2nccs2)CC1
ZINC44261532	NC(=O)/C=C\c1c[nH+]cc(I)c1N
ZINC52838361	Cc1[nH+]c(-c2ccc3c(c2)CCCN3C)c(N)n1N
ZINC52838458	Cc1[nH+]c(-c2ccc(OC(F)F)cc2)c(N)n1N
ZINC52839078	Nc1c(-c2ccc(F)cc2F)[nH+]c(C2CC2)n1N
ZINC52839186	CSCCc1[nH+]c(-c2ccccc2)n(N)c1N
ZINC52839671	CC(C)(C)c1[nH+]c(-c2ccc(F)cc2)c(N)n1N
ZINC52918189	NC(=O)[C@@H]1CCC[N@H+](CCc2ccccc2N)C1
ZINC53096742	OCC1([NH2+]Cc2cccc(O)c2O)CCCCC1
ZINC53114316	Cc1cc(N)c[nH+]c1N[C@]1(CO)CC[C@H](C)CC1
ZINC53127902	C[C@H]1CCC[C@@](CO)(NC(=O)[C@](C)([NH3+])C2CC2)C1
ZINC53128056	CCC[C@@H]([NH3+])C(=O)N[C@@]1(CO)CCC[C@H](C)C1
ZINC55122897	C[C@@H]1C[C@H](C(=O)N[C@H]2CC[C@H](O)CC2)CC[C@@H]1[NH3+]
ZINC55122936	C[C@H]1CCC[C@H]([NH3+])[C@@H]1C(=O)N[C@H]1CC[C@H](O)CC1
ZINC55132424	C[C@H]1CCC[C@@H](C(=O)N[C@@H]2CCCC[C@@H]2O)[C@@H]1[NH3+]
ZINC55132441	C[C@H]1CCC[C@H]([NH3+])[C@@H]1C(=O)N[C@@H]1CCCC[C@@H]1O
ZINC55132451	[NH3+][C@H]1CCC[C@@H](CC(=O)N[C@@H]2CCCC[C@H]2O)C1
ZINC55134507	C[C@@H]1C[C@@H](C(=O)N2CCC(CC(N)=O)CC2)CC[C@@H]1[NH3+]
ZINC55134548	C[C@H]1CCC[C@H]([NH3+])[C@@H]1C(=O)N1CCC(CC(N)=O)CC1
ZINC55145543	[NH3+]CC[C@@H]1CCC[C@H](C(=O)N[C@H]2CC[C@H](O)CC2)C1
ZINC34926920	[NH2+]=C1NC(=S)N[C@@H](c2ccccc2Cl)N1
ZINC42135294	[NH3+]CCCN[C@H]1C(=O)Nc2cc(F)c(Br)cc21
ZINC50088977	C[C@@H]1CCC[C@](C[NH3+])(N(C)C[C@@H](C)C(N)=O)C1
ZINC61821779	C[C@@](N)(C[NH+]1CCC2(CCCCC2)CC1)C(N)=O
ZINC62778330	[NH3+]CC#Cc1ccc(Cl)c(NC(=O)c2cc[nH]n2)c1
ZINC62958311	NC(=O)C[C@H]([NH3+])C(=O)N1CCC2(CCCC2)CC1
ZINC62999093	OC[C@H]([NH2+]Cc1ccc(O)c(O)c1)c1ccccc1
ZINC63196940	C[C@@H]([NH3+])[C@@H]1CCCCN1c1ccc(S(N)(=O)=O)cc1
ZINC03356811	COc1ccc(OC)c(-c2nc(N)sc2[C@@]2(O)C(=O)Nc3c(C)cc(C)cc32)c1
ZINC04135008	COC(=O)c1ccc(C(=O)NC(=S)Nc2sc3c(c2C(N)=O)CCCC3)cc1
ZINC04222357	CC(C)NC(=O)C[C@@H]1c2nc(NC(=O)C(C)(C)C)sc2C[C@H]2[C@@]1(C)CC[C@@H](O)[C@@]2(C)CO
ZINC04222450	C[C@@]12CC[C@@H](O)[C@@](C)(CO)[C@H]1Cc1sc(NC(=O)C3CCC3)nc1[C@H]2CC(=O)NC1CCCC1
ZINC01109646	COc1cc([C@@H]2NC(=O)NC(C)=C2C(=O)Nc2ccc(C)c(C)c2)c(Cl)cc1O
ZINC05492521	COc1cc(O)c([C@H](c2ccccc2)c2c(O)c(C)c(O)c3c2O[C@H](c2ccccc2)CC3=O)c(O)c1C
ZINC00834485	Nc1cc(Cl)c(S(=O)(=O)Nc2ccccc2)cc1S(=O)(=O)Nc1ccccc1
ZINC08386088	O=C(N/N=C/c1ccc(O)cc1O)/C(=C\c1cccs1)NC(=O)c1ccccc1Cl
ZINC09560599	Cc1ccc(NC(=O)c2c(C)nc3sc(C(=O)NC4CCCCC4)c(N)c3c2-c2ccc(C)o2)c(C)c1
ZINC09597245	N#CC1=C(N)Oc2c(c(Nc3ccccc3)nc3c(O)nsc23)[C@@H]1c1ccc(Br)cc1
ZINC02793771	Cc1cccc(NC(=S)NNC(=O)c2cnn3c2N[C@@H](c2ccccc2)C[C@@H]3C(F)F)c1C
ZINC14651371	O=C(NC(=S)Nc1ccccc1C(=O)NCCO)c1ccc(Br)o1
ZINC15306190	COc1ccc([C@@H]2NC(=S)N[C@]34Oc5c(ccc(O)c5O)[C@@H](c5ccc(OC)cc5)[C@@H]3CCC[C@@H]24)cc1
ZINC16657861	Cc1[nH]c(SCc2nc(N)nc(Nc3ccc(F)cc3)n2)nc1Cc1ccccc1
ZINC17002705	CC(=O)N[C@H]1[C@H](O)O[C@H](COC(c2ccccc2)(c2ccccc2)c2ccccc2)[C@@H](O)[C@@H]1O
ZINC18196350	COc1cccc([C@H]2C3=C(C[C@H](c4cccs4)CC3=O)Nc3[nH]nc(O)c32)c1O
ZINC02791821	O=C(NNC(=S)NC1CCCCC1)c1cnn2c1N[C@@H](c1ccccc1)C[C@H]2C(F)F
ZINC03088351	C/C(=C\C(=O)Nc1cccc(I)c1)NNC(=O)C(=O)Nc1ccc(C)c(Cl)c1
ZINC20487494	Cc1ccc(NC(=O)CCNS(=O)(=O)c2cc(Br)cnc2N)c(C)c1
ZINC20569705	NC(=O)c1c(NC(=O)c2ccccc2NS(=O)(=O)c2ccc(F)cc2)sc2c1CCCC2
ZINC02793867	Cc1ccccc1NC(=S)NNC(=O)c1cnn2c1N[C@@H](c1ccccc1)C[C@@H]2C(F)F
ZINC22508350	NC(=S)N/N=C/c1ccccc1OCC(=O)Nc1nc2c(s1)CCCCCCCCCC2
ZINC29574991	NS(=O)(=O)c1ccc(Cl)c(C(=O)NNC(=O)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)c1
ZINC30731246	COc1cc(/C=N\NC(=O)c2sc(N)c(C#N)c2C)cc(Br)c1O
ZINC33699198	COc1ccc([C@@H]2NC(=S)N[C@@]34Oc5c(ccc(O)c5O)[C@@H](c5ccc(OC)cc5)[C@H]3CCC[C@H]24)cc1
ZINC36525565	CCCCNC(=O)[C@@H](c1c(O)cc(O)cc1O)N(C)C(=O)[C@@H]1C[C@@H]2C[C@H]([C@H]1C)C2(C)C
ZINC36583458	CC(C)(C)NC(=O)[C@H](c1c(O)cc(O)cc1O)N(C(=O)c1ccc(Cl)cc1)C(C)(C)C
ZINC13298671	CC[C@H](C)C(=O)c1c(O)c(C)c2oc3c(C)c(O)c(C(=O)[C@H](C)CC)c(O)c3c2c1O
ZINC38785111	O=C(NNC(=O)c1c[nH]c2ccccc12)C1=CNN(c2cccc(C(F)(F)F)c2)[C@@H]1C(F)(F)F
ZINC39000268	COc1ccc(C2=C[C@@H]([C@@H]3NN[C@H](SCc4c(Cl)cccc4Cl)N3N)N=N2)cc1
ZINC39252264	CC(C)C[C@@H]1NN[C@@H](NC(=O)[C@@H]2CC(=O)N(CCc3c[nH]c4ccc(F)cc34)C2)S1
ZINC39252401	C[C@@H]1NN[C@H](NC(=O)[C@@H]2CC(=O)N(CCc3c[nH]c4ccc(Cl)cc34)C2)S1
ZINC39252407	C[C@H]1NN[C@@H](NC(=O)[C@@H]2CC(=O)N(CCc3c[nH]c4ccc(Cl)cc34)C2)S1
ZINC39252515	CCC(C)(C)[C@H]1NN[C@H](NC(=O)[C@@H]2CC(=O)N(CCc3c[nH]c4ccc(F)cc34)C2)S1
ZINC39273081	CC1=C([C@@H](c2ccccc2O)c2c(C)[nH]n(-c3cccc(C)c3)c2=O)[C@@H](O)N(c2cccc(C)c2)N1
ZINC39856376	Cc1c(C(=O)Nc2c(Cl)cccc2Cl)oc2c1/C(=N/NC(N)=O)CC(C)(C)C2
ZINC40682674	COc1ccc2nc(Nc3ncnc(Nc4cc(C(F)(F)F)ccc4Cl)c3N)sc2c1
ZINC40703345	COc1ccc2nc(Nc3ncnc(Nc4ccc(Cl)cc4C)c3N)sc2c1
ZINC40704179	COc1ccc2nc(Nc3ncnc(Nc4ccc(Cl)c(Cl)c4)c3N)sc2c1
ZINC40704255	COc1cc(OC)c(Nc2ncnc(Nc3ccc(Cl)c(Cl)c3)c2N)cc1Cl
ZINC40735180	CC1(C)C[C@@H]2C[C@@](C)(CN2c2ncnc(NNC(=O)C(c3ccccc3)c3ccccc3)c2N)C1
ZINC40754595	COc1ccc(Nc2ncnc(Nc3ccc(Cl)c(C(F)(F)F)c3)c2N)c(OC)c1
ZINC40755819	COc1cc(OC)c(Nc2ncnc(N[C@]34C[C@H]5C[C@H](C[C@H](C5)C3)C4)c2N)cc1Cl
ZINC40784290	COc1ccc2nc(Nc3ncnc(Nc4ccc(F)c(Cl)c4)c3N)sc2c1
ZINC43553447	CC(C)(C)C(=O)Nc1nc2c(s1)C[C@H]1[C@](C)(CC[C@@H](O)[C@@]1(C)CO)[C@@H]2CC(=O)NC1CCCCC1
ZINC44681428	CNc1nc2c(s1)C[C@H]1[C@](C)(CC[C@@H](O)[C@@]1(C)CO)[C@@H]2CC(=O)NCCOC
ZINC18201194	CC(C)(C)c1cc([C@H]2C3=C(Nc4[nH]c(=O)[nH]c(=O)c42)c2ccccc2C3=O)cc(C(C)(C)C)c1O
ZINC59309434	C/C(=N/Nc1nc(SCC(=O)[C@H]2[C@@H]3C[C@H]4C[C@@H](C3)C[C@@H]2C4)n[nH]1)c1ccc(N)cc1
ZINC60354764	CC(=O)Nc1cc(F)c(F)cc1NC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
ZINC64087797	NS(=O)(=O)[C@@H]1CC=C(CCNC(=O)c2c[nH]c(=S)n2-c2ccccc2)S1
ZINC03407298	CC[C@@H](C)[NH+](Cc1nc(N)nc(Nc2ccccc2C)n1)Cc1nc(N)nc(Nc2ccccc2C)n1
ZINC04349595	CC(=O)OC[C@@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@@H](O)[C@@H]1O
ZINC01572156	C[C@H](O)[C@H]([NH3+])C(=O)NCCc1nc(-c2nc(C(=O)NCCCBr)cs2)cs1
ZINC01679808	Oc1c(C[NH2+]Cc2ccccc2)cc(C[NH2+]Cc2ccccc2)c(O)c1C[NH2+]Cc1ccccc1
ZINC05373229	Cc1cc(NCCCC[NH2+]CCCNc2cc(C)[nH+]c3cc([N+](=O)[O-])ccc23)c2ccc([N+](=O)[O-])cc2[nH+]1
ZINC01653134	Cc1ccc(NS(=O)(=O)c2ccc(N)cc2)cc1NS(=O)(=O)c1ccc(N)cc1
ZINC02900815	CC(C)(C)[NH2+][C@H](NC(=O)N[C@@H]([NH2+]C(C)(C)C)C(Cl)(Cl)Cl)C(Cl)(Cl)Cl
ZINC04244413	Cc1ccc(S(=O)(=O)Nc2cc(NS(=O)(=O)c3cc(N)ccc3C)cc(C)c2C)c(N)c1
ZINC09442180	Cc1ccc(Nc2nc(N)nc(C[NH2+][C@H](CO)[C@H](O)c3ccc([N+](=O)[O-])cc3)n2)cc1
ZINC09975178	CN(C)c1ccc(/C=N/Nc2nc3c(N)ncnc3n2[C@@H]2O[C@@H](CO)[C@@H](O)[C@H]2O)cc1
ZINC10004103	COc1cc(/C=N/Nc2nc3c(N)ncnc3n2[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)ccc1O
ZINC12340633	COc1cc(/C=N\Nc2nc3c(N)ncnc3n2[C@H]2O[C@@H](CO)[C@H](O)[C@@H]2O)ccc1O
ZINC12660304	COc1cc(/C=N/Nc2nc3c(N)ncnc3n2[C@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)ccc1O
ZINC08740520	COc1cc(/C=N/Nc2nc3c(N)ncnc3n2[C@@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)ccc1O
ZINC14684645	CC(=O)OC[C@H]1O[C@@H](Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@@H](O)[C@@H](O)[C@@H]1O
ZINC16221200	Cc1cc(C)cc(NC(=S)NNC(=O)C(=O)NNC(=S)Nc2cc(C)cc(C)c2)c1
ZINC20922560	NNc1nnc(SCCC(=O)Nc2nc3ccc(Br)cc3s2)n1N
ZINC22063967	CC(=O)N[C@@H]1[C@H](O)[C@@H](O[C@@H]2O[C@@H](C)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](CO)O[C@@H]1Oc1ccc2c(C)cc(=O)oc2c1
ZINC25387179	N#Cc1c(N(CCO)CCO)nc(N)c2c(N)nc3c(c12)CC(=O)N3C[C@@H]1CCCO1
ZINC26897811	CC(C)(COC[C@@H](O)C[NH2+]Cc1ccccc1)COC[C@@H](O)C[NH2+]Cc1ccccc1
ZINC26897818	CC(C)(COC[C@H](O)C[NH2+]Cc1ccccc1)COC[C@H](O)C[NH2+]Cc1ccccc1
ZINC26897822	O[C@@H](C[NH2+]Cc1ccccc1)COC[C@H]1CC[C@H](COC[C@@H](O)C[NH2+]Cc2ccccc2)CC1
ZINC35455263	O=C(O[C@@H]1C=C(CO)[C@@H]2[C@@H]1C=CO[C@@H]2O[C@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]1O)c1ccc(O)cc1
ZINC35465649	C/C(=C\Cc1c(O)cc(C)c(C=O)c1O)CC/C=C(\C)CCCC(C)(C)O[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@H]1O
ZINC35636395	[N-]=[N+]=Nc1ccc(CCC(=O)c2c(O)cc(O)cc2O[C@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O)cc1
ZINC36500741	CC(C)(C)CC(C)(C)NC(=O)[C@H](c1c(O)cc(O)cc1O)N(Cc1ccco1)C(=O)c1cccc(O)c1O
ZINC36532580	O=C(/C=C/c1ccc(O)c(O)c1)c1ccc(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c(O)c1O
ZINC36586647	CC(C)(C)CC(C)(C)NC(=O)[C@@H](c1c(O)cc(O)cc1O)N(C(=O)c1c(O)cccc1O)C(C)(C)C
ZINC37624836	Cc1cc(C)c(C(=NNC(=S)NN=C(c2[nH]c(C)cc2C)c2[nH]c(C)cc2C)c2[nH]c(C)cc2C)[nH]1
ZINC35455061	CC(=O)O[C@H]1[C@@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)O[C@@H](CO)[C@@H](O)[C@H]1O
ZINC38964765	Cc1ccc2nc(Nc3nc(CS[C@@H]4N[NH2+]NN4c4ccccc4)cc(=O)[nH]3)nc(C)c2c1
ZINC39533329	CC(C)Cc1ccc([C@H](CNc2ccccc2O)[N@@H+]2CC[NH2+][C@H](c3ccccc3O)C2)cc1
ZINC40784819	Nc1c(NNC(=O)c2ccccc2Cl)ncnc1NNC(=O)c1ccccc1Br
ZINC43465469	COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O[C@H]2O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]2O)cc(OC)c1O
ZINC43729973	COc1ccccc1/C=N/Nc1nc2c(=O)[nH]c(N)nc2n1[C@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O
ZINC43729974	COc1ccccc1/C=N/Nc1nc2c(=O)[nH]c(N)nc2n1[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O
ZINC44467741	CCCC[C@@H](CC)Cn1c2ccc(C[C@H]([NH3+])CO)cc2c2cc(C[C@H]([NH3+])CO)ccc21
ZINC44467744	CCCC[C@H](CC)Cn1c2ccc(C[C@H]([NH3+])CO)cc2c2cc(C[C@H]([NH3+])CO)ccc21
ZINC49180971	O=C(OC[C@H]1O[C@H](O[C@H]2CO[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O)c1ccccc1
ZINC22790035	O[C@@H](C[NH2+]CC[NH2+]C[C@H](O)COCc1ccccc1Cl)COCc1ccccc1Cl
ZINC52566210	[NH3+][C@H](COc1cncc(-c2ccc3c(c2)[C@@H](C2=c4ccccc4=[NH+]C2)C(=O)N3)c1)CC1=c2ccccc2=[NH+]C1
ZINC63280122	COc1cc(C[NH2+]CCC2=c3ccccc3=[NH+]C2)ccc1O[C@@H]1N[NH2+]NN1c1ccccc1
ZINC63513945	Cc1cccc(C)c1N1N[NH2+]N[C@H]1[C@H]([NH2+]CCC1=c2ccccc2=[NH+][C@@H]1C)c1ccccc1
ZINC63562398	Cc1ccc2c(c1)=[NH+][C@@H](SCC(=O)Nc1cccc(NC(=O)CS[C@H]3[NH+]=c4ccc(C)cc4=[NH+]3)n1)[NH+]=2
ZINC63684469	Cc1cccc(C)c1NC(=O)CS[C@H]1NN[C@@H]([C@@H]([NH3+])CC2=c3ccccc3=[NH+]C2)O1
ZINC63720177	[NH3+][C@@H](CC1=c2ccccc2=[NH+]C1)[C@@H]1NN[C@@H](SCc2ccc(Cl)c(Cl)c2)O1
ZINC63720224	[NH3+][C@@H](CC1=c2ccccc2=[NH+]C1)[C@H]1NN[C@H](SCc2ccc(Cl)cc2Cl)O1
ZINC63761270	[NH3+][C@@H](CC1=c2ccccc2=[NH+]C1)[C@H]1NN[C@H](SCc2c(Cl)cccc2Cl)O1
ZINC64683778	Cc1ccc(N2N[NH2+]N[C@@H]2SCC(=O)N[C@@H](CC2=c3ccccc3=[NH+]C2)C(=O)[O-])c(C)c1
ZINC26897825	O[C@@H](C[NH2+]Cc1ccccc1)COC[C@H]1CC[C@H](COC[C@H](O)C[NH2+]Cc2ccccc2)CC1
ZINC04293695	COC(=O)[C@]1(O)C[C@@H](O)[C@@H](NC(C)=O)[C@@H]([C@H](O)[C@H](O)CO)O1
ZINC04475366	CNC(=O)c1csc(N/N=C/[C@H](O)[C@H](O)[C@H](O)CO)n1
ZINC04475368	CNC(=O)c1csc(N/N=C/[C@@H](O)[C@H](O)[C@H](O)CO)n1
ZINC04533821	COC(=O)[C@@]1(O)C[C@@H](O)[C@@H](NC(C)=O)[C@@H]([C@H](O)[C@H](O)CO)O1
ZINC02558706	COC(=O)[C@@]1(O)C[C@@H](O)[C@H](NC(C)=O)[C@@H]([C@H](O)[C@H](O)CO)O1
ZINC04544494	OC[C@@H](O)[C@@H](O)[C@@H](O)c1cnc([C@H](O)[C@H](O)[C@H](O)CO)cn1
ZINC04556539	OC[C@@H]1O[C@](CO)(O[C@@H]2O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H]1O
ZINC04556541	OC[C@@H]1O[C@@H](O[C@@]2(CO)O[C@@H](CO)[C@@H](O)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O
ZINC04777696	Cn1ncc2c(NC[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO)ncnc21
ZINC04919046	NC(=O)N/N=C/Cn1ccc(=O)n(C/C=N/NC(N)=O)c1=O
ZINC05224791	OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
ZINC05370846	OC[C@@H](O)[C@@H](O)Cc1cnc([C@@H](O)[C@H](O)[C@H](O)CO)cn1
ZINC02564469	C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](C)[NH3+])C(=O)[O-]
ZINC04217475	OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
ZINC08586496	OC[C@@H]1O[C@](O)(CO)[C@H](O)[C@@H]1O[C@@H]1O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]1O
ZINC08738284	OC[C@@H]1O[C@@H](OC[C@H]2O[C@@](O)(CO)[C@@H](O)[C@H]2O)[C@@H](O)[C@@H](O)[C@H]1O
ZINC11592523	OC[C@@H]1O[C@](CO)(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@@H]1O
ZINC12504178	O=c1[nH]c(NC[C@H](O)[C@H](O)[C@H](O)CO)c([N+](=O)[O-])c(=O)[nH]1
ZINC12657241	O=c1[nH]cc(NC(=S)N[C@@H]2[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)[nH]1
ZINC13518854	OC[C@@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
ZINC15205943	OC[C@H]1O[C@H](OC[C@H]2O[C@@](O)(CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@@H]1O
ZINC16681745	CCNC(=S)NNC(=O)CC(=O)NNC(=S)NCC
ZINC16948558	CNC(=O)c1csc(N/N=C/[C@H](O)[C@H](O)[C@@H](O)CO)n1
ZINC20922777	Cc1nnc(NC(=O)CSc2nnc(NN)n2N)s1
ZINC22066571	OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O
ZINC25495269	CCOC(=O)C[C@@H](/C(C)=N\NC(N)=O)/C(C)=N/NC(N)=O
ZINC35298643	O=c1[nH]c(NC[C@@H](O)[C@H](O)[C@H](O)CO)c([N+](=O)[O-])c(=O)[nH]1
ZINC35298647	O=c1[nH]c(NC[C@@H](O)[C@@H](O)[C@H](O)CO)c([N+](=O)[O-])c(=O)[nH]1
ZINC35878009	O=c1[nH]cc(NC(=S)N[C@@H]2[C@@H](O)O[C@@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
ZINC35878010	O=c1[nH]cc(NC(=S)N[C@H]2[C@@H](O)O[C@@H](CO)[C@@H](O)[C@@H]2O)c(=O)[nH]1
ZINC37246278	OC[C@@H]1O[C@H](OC[C@H]2O[C@](O)(CO)[C@@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@@H]1O
