ZINC06503852	Cc1ccc(C(=O)NC(=S)NNC(N)=S)cc1I
ZINC52276860	C[C@H]1C[C@H]1NC(=O)CCCCCl
ZINC53560457	C=CCOCCNc1ccccc1F
ZINC53566601	C#CCNC[C@@H](C)Oc1cc(C)cc(C)c1
ZINC53589786	Clc1ccc(NCCOC2CCC2)cc1
ZINC53647319	C#CCNC[C@H](C)Sc1ccccc1OC
ZINC53647320	C#CCNC[C@@H](C)Sc1ccccc1OC
ZINC53784524	COCCC[C@@H](O)C1CCCCC1
ZINC54695067	C[C@@H]1CCC[C@H](SC[C@@H](C#N)NC2CC2)C1
ZINC13829368	CCCNC(=S)N1CCCC[C@@H]1CC
ZINC35098128	CCOCCNc1cc(Cl)ccc1F
ZINC62103716	C[C@H](Cc1ccsc1)NCc1ccoc1
ZINC62452190	CN[C@H](C#N)CCSc1cccs1
ZINC62452346	CCN[C@H](C#N)CCS[C@@H](C)CC
ZINC62452471	CC(C)(C)SCC[C@H](C#N)NC1CC1
ZINC62456829	N#C[C@H](CCSC1CCCCC1)NC1CC1
ZINC62708885	CC[C@H](CC#N)NCc1cc(F)c(F)c(F)c1
ZINC63099062	N#Cc1cccc(CNCCC(F)(F)F)c1
ZINC66738757	CC(C)(C)SCCNC(=O)C[C@H]1C=CCC1
ZINC66752546	CSC[C@@H](C)C(=O)NCCC1=CCCCC1
ZINC66759665	CSC[C@H](C)C(=O)NCCC1CCCCC1
ZINC15908852	O=C(/C=C/c1ccccc1F)NNC(=S)NC1CC1
ZINC19478314	CCC(CC)NS(=O)(=O)c1ccc(C(N)=S)cc1
ZINC20384179	CCOCCCNc1ccc(C(F)(F)F)cc1N
ZINC35733417	C[C@@H](Nc1ccc(N)c(OCC2CC2)n1)C1CC1
ZINC36959311	CCC[C@@H](C)CNc1cc(S(N)(=O)=O)cc(C)c1C
ZINC37066694	CC[C@@H](C)Nc1ccc(N)c(OCC2CC2)n1
ZINC37870244	CCCN[C@H](C(N)=O)c1ccccc1C(F)(F)F
ZINC37951238	CC[C@@](Nc1ccccc1OC)(C(N)=O)c1ccccc1
ZINC38079849	Nc1ccccc1OCCNC(=O)Cc1ccccc1F
ZINC20422554	CC(C)CCNC(=O)[C@H](C)N(C)c1ccc(N)cc1
ZINC40292101	CCC(C)(C)NC(=O)CCOc1ccccc1N
ZINC40314289	CC(C)CCC[C@@H](C)NC(=O)c1ccc(F)c(N)c1
ZINC40349364	CC[C@H](C)[C@@H](C(=O)NCC(N)=S)c1ccccc1
ZINC40352468	CCCC[C@H]1CC[C@H](C(=O)N[C@H](CC)C(N)=S)CC1
ZINC40353590	CC[C@H](NC(=O)C[C@H](C)CC(C)(C)C)C(N)=S
ZINC40360824	CCC[C@@H](C)C(=O)N[C@@H](C(N)=S)C1CCCCC1
ZINC41322636	CC(C)(C)c1ccc(OCCNC(N)=S)cc1
ZINC41802079	C[C@@H](CO)[NH2+][C@](C)(C(=O)[O-])c1ccc(C(C)(C)C)cc1
ZINC42006944	CCC[C@@](SCC[NH3+])(C(=O)[O-])c1ccccc1
ZINC42501328	CCC(CC)N(CCO)c1c(F)cc(N)cc1F
ZINC42897976	NC(=S)c1ccc(NCCOc2ccccc2)cc1
ZINC44215201	CC(C)c1ccc(C[C@@H](C)[C@H]([NH3+])CC(=O)[O-])cc1
ZINC44215323	C[C@H](Cc1ccc(C(C)(C)C)cc1)[C@H]([NH3+])CC(=O)[O-]
ZINC44780997	CCC(CC)(C(=O)NCc1ccc(F)c(F)c1)C(N)=S
ZINC44828480	CCC(C)(C)NC(=O)[C@@H](Cc1ccccc1)C(N)=S
ZINC44846086	CCC[C@H](C(=O)N[C@@H](C)[C@@H](C)CC)C(N)=S
ZINC44848991	CC[C@@H](NC(=O)[C@@H](C(N)=S)C(C)C)c1cccs1
ZINC44849544	CC(C)[C@@H](C(=O)N[C@H](c1cccs1)C(C)C)C(N)=S
ZINC49580541	N/C(CCCCSc1ccc(F)cc1)=N/O
ZINC50390629	C[C@@H](CC(=O)N[C@H](C)CC(N)=S)CC(C)(C)C
ZINC50453905	CCN(c1ccccc1N)[C@@H](C)C(=O)NCC(C)C
ZINC50515763	NC(=S)c1ccc(N(CCO)Cc2ccccc2)c(F)c1
ZINC51251032	CC(C)[NH2+]CC1(C[N@@H+](C)C[C@@H]2CCCCO2)CCCC1
ZINC51628921	CC[C@@H](NC(=O)[C@@H](C(N)=S)C(C)C)c1ccccc1
ZINC51666813	NC(=S)c1ccc(CNC(=O)CCC2CCCC2)cc1
ZINC51720026	CCc1ccc([C@H](NCC(F)(F)F)C(N)=O)s1
ZINC52343330	CCC[C@H](C(=O)N[C@@H](C)C1CCCCC1)C(N)=S
ZINC52859068	COC[C@@H](C)CNc1ccc(Cl)cc1C(N)=S
ZINC52860490	CCCCN(CC)c1ccc(Cl)cc1/C(N)=N/O
ZINC52921380	C=CCN1C=[NH+][C@@H](c2cccc(OCCC)c2)C1=[NH2+]
ZINC57738481	COc1ccccc1[C@@H](C[NH3+])Cc1ccc(C(=O)[O-])cc1
ZINC57896540	C=CCNC(=O)/C=C\c1ccc(OC(C)C)c(N)c1
ZINC42500929	CCC(CC)N(CCO)c1ccc(Br)cc1N
ZINC61830023	C[C@H](CC(=O)[O-])C[C@H]([NH3+])c1ccc(C2CCCCC2)cc1
ZINC62178520	COc1ccccc1N[C@](C)(Cc1ccccc1)C(N)=O
ZINC62795556	CCOC(=O)[C@H](C)Nc1ccc(C(N)=S)cc1Cl
ZINC62829301	Nc1ccc(OC[C@H](O)CSC2CCCC2)cc1
ZINC62996241	CC[NH+](CC)c1ccc(NC[C@H](O)c2cccs2)cc1
ZINC62996516	CC[NH2+]C1CCN(c2ccc([NH+](CC)CC)cc2)CC1
ZINC63002446	OC[C@@H](NC[C@H](O)c1ccc(F)cc1F)c1ccccc1
ZINC35057124	CC(C)[NH2+]C[C@H](O)CSc1ccc([N+](=O)[O-])cc1
ZINC35057134	O=[N+]([O-])c1ccccc1SC[C@H](O)C[NH2+]C1CC1
ZINC35061657	CC[C@H](C)NC(=O)[C@@H](C)[NH2+][C@H](C(=O)OC)C(C)C
ZINC35061661	CC[C@@H](C)NC(=O)[C@H](C)[NH2+][C@H](C(=O)OC)C(C)C
ZINC35868279	CCOC(=O)c1[nH]c(C)c(C(=O)[C@@H](C)[NH2+]C(C)C)c1C
ZINC35988340	CCOC(=O)c1[nH]c(C)c(C(=O)C[NH2+]CC(C)C)c1C
ZINC36198513	Cc1cc(C[N@@H+](C)CCCOc2ccccc2N)no1
ZINC36281969	CC[NH2+]CCCNC(=O)/C=C/c1ccc2c(c1)OCO2
ZINC37376682	COc1cc(OC)c(C[NH2+]C(C)(C)CO)c(OC)c1
ZINC37707210	CCC[NH2+][C@@H](C)c1ccccc1OC[C@@H]1CNC(=O)O1
ZINC37887841	COC(=O)[C@@H]([NH2+]C[C@@H](O)COC1CCCC1)C(C)C
ZINC38013501	CC[C@@H](C)NC(=O)CC[NH2+]Cc1ccc2c(c1)OCO2
ZINC41664526	CC(C)C[C@@H](CO)[NH2+]Cc1ccc([N+](=O)[O-])cc1
ZINC42171309	O=C(C[C@H]1CCC[NH2+]1)NCCCOC[C@H]1CCCO1
ZINC43435636	COC(=O)[C@H](CC(C)C)[NH2+][C@@H](C)C(=O)NCC(C)C
ZINC43435644	COC(=O)[C@H](CC(C)C)[NH2+][C@@H](C)C(=O)NC1CCCC1
ZINC43445885	CCOc1cc(C[NH3+])ccc1OCC(=O)OC(C)C
ZINC44425087	Cc1cc(C[NH2+]C[C@@H](O)CO[C@H]2CCCC[C@@H]2C)no1
ZINC44991069	Cc1cc(C[NH2+]C[C@H](O)CO[C@@H]2CCCC[C@@H]2C)on1
ZINC44991075	Cc1cc(C[NH2+]C[C@@H](O)CO[C@H]2CCCC[C@@H]2C)on1
ZINC48925490	CC[NH2+][C@@H](C)c1ccc(NC(=O)N(C)CCOC)cc1
ZINC49018329	CCN(CCOC)C(=O)Nc1ccc([C@H](C)[NH2+]C)cc1
ZINC49021208	CC(C)(C)c1n[nH]cc1C[NH2+]CCCn1cccn1
ZINC49267858	COCCCNC(=O)NC[C@]1([NH+](C)C)CCC[C@@H](C)C1
ZINC49337080	C[C@@H]([NH3+])CCc1ccc(OCc2noc(C3CC3)n2)cc1
ZINC49372599	CCOC(=O)[C@@H](C)[NH2+]CC(=O)NC1CCCCC1
ZINC50945111	CC[C@H](C)[C@H](NC(=O)CCC1CC[NH2+]CC1)C(=O)OC
ZINC51869379	CCC[NH2+]CCOc1ccccc1S(=O)(=O)NCC
ZINC52869246	C=CC[NH+](CC=C)CC(=O)NC(=O)NCC(F)(F)F
ZINC53037251	Cc1ccc(C[NH2+]C[C@H](O)COc2ccccc2C#N)o1
ZINC53042833	C=CCc1ccccc1OCCn1cc(C[NH3+])nn1
ZINC55070941	CCOC(=O)[C@@](C)(N)CCN1CC[NH+]([C@@H](C)CC)CC1
ZINC55197959	CCCSc1ncc(CNCCc2c[nH]c[nH+]2)cn1
ZINC59034816	CC[NH+](CC)CCNC(=O)N[C@@H](C)Cc1ccco1
ZINC59034819	CC[NH+](CC)CCNC(=O)N[C@H](C)Cc1ccco1
ZINC60937862	CCOCCCNC(=O)NCC1([NH+](C)C)CCCC1
ZINC61638934	CCNC(=O)C[N@@H+](CC)Cc1nc(NC)ccc1Cl
ZINC61783840	CCNC(=O)C[N@H+](CC)CC(=O)N[C@H]1CC[C@H](C)CC1
ZINC61785330	CCC(CC)NC(=O)C[N@@H+](C)CC(=O)NC(C)(C)C
ZINC62736922	CCCN(CCO)c1c(C[NH2+]C(C)(C)C)c(C)nn1C
ZINC62821065	CC[NH2+]Cc1c[nH]c(Cc2ccc(OC)c(OC)c2)n1
ZINC62848756	CC[C@@H](C)[C@@H](NC(=O)C1(CC)CC[NH2+]CC1)C(=O)OC
ZINC62894431	CCC[C@]1(C(=O)N(CC)CC(=O)NC(C)C)CC[NH2+]C1
ZINC62900088	CCC[C@]1(C(=O)N[C@@H](C(=O)OC)C(C)C)CC[NH2+]C1
ZINC66125728	CC[C@H](C)[N@H+](C)CCNC(=O)CNC(=O)C1CCCC1
ZINC66560712	CCCCN(CCCC)C(=O)C[N@@H+]1CCC[C@H]1C(N)=O
ZINC66599511	CCCC[N@H+]1CCCC[C@@H]1CNC(=O)NCCCOC
ZINC66686999	CCCC[N@H+]1CCCC[C@@H]1CNC(=O)NCCOC
ZINC49974425	CC(C)CNC(=O)C[N@@H+](C)CC(=O)NC(C)(C)C
ZINC50274740	CCC(C)(C)NC(=O)C[N@@H+](C)CC(=O)NC(C)C
ZINC06552534	C/C=C/c1ccc(OC[C@@H](O)C[NH2+][C@@H](CC)CO)c(OC)c1
ZINC08253753	C=CC[NH2+]Cc1cc(Cl)c(OCC(N)=O)c(OCC)c1
ZINC20934904	CCOc1cc(C[NH2+]CCCCCO)ccc1OCCO
ZINC32072032	CCCOc1c(Cl)cc([C@@H](C[NH3+])N(C)CCO)cc1OC
ZINC35727731	[NH3+]Cc1ccc(OC[C@H](O)COCc2ccco2)cc1
ZINC35727734	[NH3+]Cc1ccccc1OC[C@H](O)COCc1ccco1
ZINC35727978	[NH3+]Cc1ccc(OC[C@@H](O)COC[C@H]2CCCCO2)cc1
ZINC36262888	O=C(CNC(=O)c1ccccc1)NCCC[NH2+]C1CC1
ZINC36269359	CCNS(=O)(=O)c1ccccc1NCCC[NH2+]C1CC1
ZINC36291851	C=CCOc1cc(C(=O)NCCC[NH+](C)C)ccc1N
ZINC37236997	C[C@H]([NH2+]CCCOCC1CC1)c1cccc(S(N)(=O)=O)c1
ZINC37892377	CC(C)NC(=O)C[NH2+]C[C@@H](O)COC[C@H]1CC=CC[C@H]1C
ZINC37892563	C[C@H]1CCCC[C@@H]1OC[C@H](O)C[NH2+]CC(=O)NC1CC1
ZINC38014374	CC[C@H](C)NC(=O)CC[NH2+]C[C@@H](O)COCC(C)C
ZINC38014569	CC[C@@H](C)NC(=O)CC[NH2+]C[C@H](O)COC(C)(C)C
ZINC38014751	CC[C@@H](C)NC(=O)CC[NH2+]CC(=O)NC1CCCCC1
ZINC36744952	CC(C)COc1ccc([C@H](C)[NH2+]CCS(N)(=O)=O)cc1
ZINC40824616	CC[C@@H](C)[C@H]([NH3+])C(=O)NC[C@@H](CC(C)C)N1CCOCC1
ZINC40826344	C[C@]([NH3+])(C(=O)NCCCOC[C@H]1CCCO1)C1CC1
ZINC43354397	CCNC(=O)CN(CC)[C@@H](c1ccncc1)[C@@H]([NH3+])CC
ZINC44657402	COCCCC[NH2+][C@H](C)c1ccc(S(N)(=O)=O)cc1
ZINC45073705	CCCNC(=O)CC[NH2+]C[C@@H](O)CO[C@H]1CCCC[C@@H]1C
ZINC45073711	CCCNC(=O)CC[NH2+]C[C@@H](O)CO[C@H]1CCC[C@H](C)C1
ZINC45275830	COCC[N@@H+](CC(C)C)C[C@](C)(NC1CC1)C(N)=O
ZINC45280207	CCN[C@](C[N@H+](C)CCOC)(C(N)=O)c1ccccc1
ZINC45314817	CCCN[C@](C)(C#N)CCC[N@H+]1C[C@H](C(N)=O)CC[C@@H]1C
ZINC45376918	CC(C)[NH2+][C@@](C)(CCCCN1C[C@@H](C)O[C@H](C)C1)C(N)=O
ZINC45467754	CCC[NH2+][C@@](C)(CCCOC[C@H]1CCOC1)C(N)=O
ZINC45475902	CCC[NH2+][C@](C)(CCCCOC[C@@H]1CCCO1)C(N)=O
ZINC45503080	CC(C)[NH2+][C@@](C)(CCCOC[C@@H]1CCCCO1)C(N)=O
ZINC48574985	CCC(CC)NC(=O)C[N@H+](CC(N)=O)C1CCCC1
ZINC49093699	CCC(CC)(CNC(=O)CNC(=O)NC1CC1)[NH+](C)C
ZINC49201315	CCNC(=O)[C@@H](C)[NH2+]C[C@@H](O)CO[C@@H](C)CC(C)C
ZINC49291765	COC[C@H](C)NC(=O)COc1ccc(Cl)cc1C[C@@H](C)[NH3+]
ZINC49972001	CCC[NH2+][C@](C)(CCN(C)c1ccc(OC)cc1)C(N)=O
ZINC50948198	CC[C@H](C)NC(=O)CCNC(=O)CCC1CC[NH2+]CC1
ZINC50948209	CC[C@@H](C)NC(=O)CCNC(=O)CC[C@H]1CCCC[NH2+]1
ZINC50948211	CC[C@H](C)NC(=O)CCNC(=O)CC[C@H]1CCCC[NH2+]1
ZINC03151867	CC(C)(C)c1ccc(OC[C@H](O)C[NH+](CCO)CCO)cc1
ZINC37210911	CC[NH+](CC)CCCN[C@@H](C)c1ccc(S(N)(=O)=O)cc1
ZINC49282688	COCCCNC(=O)CN(CCC[NH3+])C1CCCCC1
ZINC49290513	COC[C@H](C)NC(=O)CN(CCC[NH3+])C1CCCCC1
ZINC49290517	COC[C@H](C)NC(=O)CN(CCC[NH3+])C1CCCCCC1
ZINC43364979	CCNC(=O)CN(CC)[C@H](c1ccc(C)o1)[C@H]([NH3+])CC
ZINC50088295	CCCN(CC(=O)N[C@H](C)COC)C1(C[NH3+])CCCCC1
ZINC61813795	CCC(CC)N(CCOC)c1cc[nH+]c(/C(N)=N/O)c1
ZINC62463367	CCN[C@@H](CC[N@H+](CCOC)[C@@H](C)C1CC1)C(N)=O
ZINC62728652	COCC[NH2+]Cc1cc(C)c(OC[C@@H](C)C(N)=O)c(C)c1
ZINC63153333	CCOCCS(=O)(=O)N[C@H](C[NH3+])C1CCCCC1
ZINC65944874	CC[NH+](CC)CCCCNc1cc(Cl)nc(N)n1
ZINC05001735	CCSc1nnc(CC[NH2+]C2CCCCC2)n1C
ZINC19965290	CCC[C@@H](C)[NH2+]C1CCN(C(=O)OCC)CC1
ZINC20092979	CCOC(=O)N1CCC([NH2+][C@@H](C)[C@@H](C)CC)CC1
ZINC20190699	C[C@@H]([NH2+]CCCOCC1CC1)c1ccc2c(c1)OCO2
ZINC35449119	CCN(c1nc2ccccn2c1C[NH2+]C1CC1)C(C)C
ZINC36878868	CC(C)CC[NH2+]C1CCN(C(=O)OC(C)(C)C)CC1
ZINC37241072	CCC[NH2+][C@H]1CCN(c2ccc(OC)cc2OC)C1
ZINC37252155	COc1cc(OC)c(C[NH2+]CC2CCCC2)c(OC)c1
ZINC37949357	CC[NH2+][C@@H](C)[C@H](C)Cc1cc(F)ccc1[N+](=O)[O-]
ZINC43323823	CCC[C@@H](C)[NH2+][C@H]1CCCN(C(=O)OC(C)(C)C)C1
ZINC43479112	CCC[NH2+]Cc1ccc(OCc2cnoc2)c(Cl)c1
ZINC43610555	CC[NH2+][C@@H](c1ccc(C)o1)c1c(OC)cccc1OC
ZINC44044369	CCC[NH2+][C@H](COCC)c1ccc2c(c1)OCCCO2
ZINC44068320	CCC[NH2+][C@@H](COCC1CC1)c1ccc2c(c1)OCO2
ZINC45221201	CCOC(=O)[C@](C)(C[N@@H+]1CCC[C@H]1CC)NC(C)C
ZINC45221204	CCOC(=O)[C@](C)(C[N@H+]1CCC[C@@H]1CC)NC(C)C
ZINC45281387	CCCN[C@](C)(C[NH+]1CCC(CC)CC1)C(=O)OC
ZINC45505225	COC(=O)[C@](C)(CCOC1CCCCC1)[NH2+]C1CC1
ZINC48625557	CCC[NH2+][C@H](c1ccc(OC)cc1OC)[C@@H]1CCOC1
ZINC48784387	COc1cc(C)cc(OC)c1OCC[NH2+]C(C)(C)C
ZINC49736480	CCN(CC)C(=O)NC[C@H](C(C)C)[NH+]1CCCCC1
ZINC49737236	CC(C)C[C@H](CNC(=O)c1ccco1)[NH+]1CCCCC1
ZINC50424035	CC[NH2+]Cc1cc2c(cc1OC[C@@H](C)CC)OCO2
ZINC50620628	CC(C)(C)[NH2+]CCc1nnc(CCC2CCCCC2)o1
ZINC50905622	CCCC1CC[NH+](C[C@@](C)(NC)C(=O)OC)CC1
ZINC51484815	CCNCc1cccc(N(C)c2cccc(OC)c2)[nH+]1
ZINC51518378	CCN(Cc1ccco1)c1ccc(Cl)c(C[NH2+]C)n1
ZINC51519473	C[NH2+]Cc1nc(C(C)C)ncc1N(CC(C)C)C(C)C
ZINC51525507	CC[C@@H]1CCCC[C@H]1Oc1ccc(C[NH2+]C2CC2)nn1
ZINC52157055	COC(=O)[C@@](C)(COCC1CCCCC1)[NH2+]C1CC1
ZINC52170765	CC(C)[NH2+]Cc1ccc(OCC2CCCCC2)nn1
ZINC52540494	CCC[NH2+]Cc1cc(CN(C)c2ccc(F)cc2)on1
ZINC52592011	CC[NH2+]Cc1ccc(Cn2nc(C)c(CC)c2C)o1
ZINC52625171	C[C@H](CC[NH2+]C(C)(C)C)OCc1ccc2c(c1)OCO2
ZINC52650746	Fc1ccc(OCc2cc(C[NH2+]C3CC3)no2)c(F)c1
ZINC53011103	COc1cc(OC)cc(N2CC[C@@H](C[NH2+]C3CC3)C2)c1
ZINC53749313	Cc1cc(C)cc(Cc2noc(CC[NH2+]C3CC3)n2)c1
ZINC54468797	CC[C@@H](C)C[NH2+]Cc1cc([N+](=O)[O-])c(F)cc1F
ZINC54557482	COCC[NH2+][C@]1(C(=O)OC)CC[C@H](C(C)C)CC1
ZINC54854922	CCC[NH2+]C[C@@H](C)c1c(C)nc(N2CCCC2)nc1C
ZINC35430267	CC[NH2+]Cc1c(N(C)C[C@@H](C)CC)nc2sccn12
ZINC37741163	CCC(CC)N1C(=O)C[C@H]([NH2+]CCC2CCCC2)C1=O
ZINC48895639	COCCN(CCOC)C[C@@H]1C[C@@H]2CCCC[C@@H]2[NH2+]1
ZINC48895640	COCCN(CCOC)C[C@H]1C[C@@H]2CCCC[C@@H]2[NH2+]1
ZINC44418062	CC(C)COc1cc2c(cc1C[NH2+]C(C)C)OCO2
ZINC61681124	Cc1ccc(Cc2noc(CC[NH2+]C3CC3)n2)cc1C
ZINC61991626	CCOC(=O)[C@]1(NC2CCCCC2)CC[N@@H+](C2CC2)C1
ZINC62737983	Cc1nn(C)c(N(C)CC(C)(C)C)c1C[NH2+]C(C)(C)C
ZINC62799897	CCC[NH2+][C@H]1CCc2c(OCc3ccno3)cccc21
ZINC66113706	CC[NH2+]Cc1cc(-c2ccc(OCC)cc2)on1
ZINC06358982	C=CC[NH2+][C@@H](CC(=O)Nc1ccc(C(C)C)cc1)C(=O)[O-]
ZINC03314374	C[C@@H](NC(N)=O)C(=O)OCc1ccc(C(C)(C)C)cc1
ZINC16311872	CCCNC(=S)NNC(=O)COc1c(C)cccc1C
ZINC05044765	CCCNC(=O)COC(=O)c1cc(Cl)ccc1N
ZINC37073590	CC[C@@H](C[C@H](C)CC)Nc1ccc2[nH]c(=O)c(=O)[nH]c2c1
ZINC37091767	CCOc1cc(NCc2ccc(O)cc2O)ccc1OC
ZINC35734599	CC(C)COc1nc(N[C@H](C)[C@H]2CCCO2)ccc1N
ZINC40369394	CCCC[C@H]1CC[C@H](C(=O)N(C)CC/C(N)=N/O)CC1
ZINC40479390	O=C(C[NH2+]CC1CC1)Nc1cc(C(=O)[O-])ccc1Cl
ZINC40480046	CC(C)(C)[NH2+]CCC(=O)Nc1ccc(F)cc1C(=O)[O-]
ZINC41064453	CCC(CC)NC(=O)[C@@H](C)OC(=O)c1ccc(N)cc1
ZINC41064503	CCC(C)(C)NC(=O)[C@@H](C)OC(=O)c1cc(F)ccc1N
ZINC41068989	C[C@@H]1CCCC[C@@H]1OCCOc1ccc(/C(N)=N/O)cc1
ZINC41102293	CC[C@H](C)NC(=O)COC(=O)c1cc(N)c(C)c(F)c1
ZINC41805536	CCCNC(=O)C[NH2+][C@@](CC)(C(=O)[O-])c1ccccc1
ZINC41805863	CCC[C@@]([NH2+]CC(=O)NC(C)C)(C(=O)[O-])c1ccccc1
ZINC42445800	CCN(C[C@@H](C)/C(N)=N/O)C(=O)CC1CCCCC1
ZINC43043474	CC(C)COC[C@@H](O)CNC(=O)N[C@H]1CCCC[C@@H]1C
ZINC43413740	CC[C@H](C)[NH2+]CC(=O)NCC1(CC(=O)[O-])CCCCC1
ZINC43437240	COC(=O)[C@@H](Nc1nc(C)cc(C)c1C(N)=S)C(C)C
ZINC44690209	CCOC[C@@H](C)Nc1ccc(N)c(OCC(C)C)n1
ZINC44690219	CCOC[C@@H](C)Nc1ccc(N)c(OC(C)(C)C)n1
ZINC44783066	CCN(Cc1ccccc1)C(=O)C(CC)(CC)/C(N)=N/O
ZINC44784236	CCCCN(CC)C(=O)C1(/C(N)=N/O)CCCCCC1
ZINC44785907	CCCCN(C(=O)C(CC)(CC)/C(N)=N/O)C1CC1
ZINC44791956	CCC(CC)(C(=O)N(C)[C@H](C)CC(C)C)/C(N)=N/O
ZINC44878449	CC(C)C[C@@H](C)N(C)C(=O)[C@H](/C(N)=N/O)C(C)C
ZINC44878455	CC(C)C[C@@H](C)N(C)C(=O)[C@@H](/C(N)=N/O)C(C)C
ZINC44981854	Nc1ccc(NC[C@H]2CCCOC2)nc1OCC1CC1
ZINC48675204	CCCSCc1nc(N)nc(Nc2ccccc2)n1
ZINC48857344	CC[C@H]1CCCC[C@H]1NC(=O)NCCNC(=O)C(C)C
ZINC49113796	CCC[C@H](NC(N)=O)C(=O)N(C)CC1CCCCC1
ZINC49127250	CC[C@H](NS(=O)(=O)c1ccc(OC)c(N)c1)C(C)C
ZINC49194018	CCCOc1nc(N[C@@H](C)c2ccc(C)o2)ccc1N
ZINC49242591	C[C@H]1C[C@H]1CNC(=O)NCCC(=O)NC1CCCCC1
ZINC49322609	CC(C)CC/C(N)=N/OCC(=O)N[C@@H]1CCCC[C@@H]1C
ZINC50033692	CCCN(CC[NH+](C)C)c1cc(C(=O)[O-])c(N)cc1F
ZINC50122606	CCCCN1C=[NH+][C@@H](c2cc(OC)cc(OC)c2)C1=[NH2+]
ZINC50368905	CCCOc1nc(N[C@H]2CCC[C@@H]2OC)ccc1N
ZINC50368909	CCCOc1nc(N[C@H]2CCC[C@H]2OC)ccc1N
ZINC50995797	C=CCN1C(=[NH2+])[C@@H](c2cc(OC)ccc2OC)[NH+]=C1CC
ZINC52880767	C[C@@](NC(=O)C[NH2+]C1CCCC1)(C(=O)[O-])c1ccccc1
ZINC61564387	CC[C@H](C)[NH2+]CC(=O)Nc1cc(F)c(F)cc1C(=O)[O-]
ZINC63119317	CCOc1cc2cc(C(C)C)c(NN)nc2cc1OCC
ZINC66120387	CC(C)(C)CCNC(=O)N1CCC[C@@H](CCC(N)=O)C1
ZINC66443296	CCCNC(=O)NC(C)(C)C(=O)NCC1(C)CCCC1
ZINC66598615	CC[C@@H](C)NC(=O)[C@H](C)NC(=O)NCC1(C)CCCC1
ZINC66965114	CC(C)CCC(=O)NN[C@@H](C(=O)NC(C)(C)C)C(C)C
ZINC67041613	CC(C)CCC(=O)NNC(=O)NCCCC1CCCC1
ZINC67359258	CC[C@@H](C)NC(=O)NNC(=O)CCC1CCCCC1
ZINC11233549	N#Cc1ccc(OCCSc2nc(N)nc(N)n2)cc1
ZINC13018178	Cc1cc(C)cc(OCCSCc2nc(N)nc(N)n2)c1
ZINC19042484	CC(C)(C)NC(=O)NC(=O)COc1ccc(Cl)cc1C(N)=O
ZINC19075319	CCNC(=O)NC[C@@H]1CCC[C@@H](CNC(=O)NCC)C1
ZINC22315407	N#Cc1c(CCCNc2ncnc3cc(Cl)ccc23)n[nH]c1N
ZINC28852227	C[C@@H](OC(=O)c1ccc(NC(N)=O)cc1)C(=O)NC1CCCC1
ZINC17173899	NO[S@](=O)c1ccc(-c2ccc([S@](=O)ON)cc2)cc1
ZINC31821333	CC(C)Cc1nc(CSc2nc(N)cc(N)n2)no1
ZINC31851635	COC(=O)c1ccc([C@H](C)Sc2nc(N)cc(N)n2)o1
ZINC35354938	COc1ccc(NS(=O)(=O)c2ccccc2NN)cc1F
ZINC36335693	CN(C)c1ccc(NS(=O)(=O)c2ccccc2NN)cc1
ZINC01997189	Cc1ccccc1NNC(=O)C(=O)NNc1ccccc1C
ZINC40372177	CCOc1ccc(C(=O)NC2(/C(N)=N/O)CCCC2)cc1
ZINC40376940	CCC(CC)(NS(=O)(=O)Cc1ccccc1)/C(N)=N/O
ZINC40376973	CCC(CC)(NS(=O)(=O)c1ccc(F)c(F)c1)/C(N)=N/O
ZINC42116084	NS(=O)(=O)c1ccc(CCNC(=O)NC2CCCC2)s1
ZINC42869754	C[C@@H]1CCCC[C@H]1CNS(=O)(=O)c1ccc(NN)nc1
ZINC43419249	CC(C)CN(CC/C(N)=N/O)C(=O)Nc1ccccc1F
ZINC44786221	CCC(CC)(C(=O)N[C@@H](C)c1ccc(C)o1)/C(N)=N/O
ZINC45639630	CC(C)[C@H]1CC[C@@H](C)C[C@H]1NC(=O)NNC(=O)C(=O)NC1CC1
ZINC45782541	C[C@@H](NC(=O)c1ccccc1[N+](=O)[O-])c1ccc(NC(N)=O)cc1
ZINC46831272	CNC(=S)NNC(=O)NCCO[C@H]1CCCC[C@H]1C
ZINC47970360	CC(C)(C)CCNC(=O)Nc1ccc(S(N)(=O)=O)cc1
ZINC48840689	C[NH2+]CCCNC(=O)Nc1cc(Cl)ccc1C(=O)[O-]
ZINC48850007	CCC(CC)NC(=O)N1CCC[C@H](CNC(N)=O)C1
ZINC48950282	CCOC(=O)N[C@H](C(=O)NNC(=O)NC)C(C)C
ZINC49122879	CC[C@H]1CCCC[C@@H]1NS(=O)(=O)c1ccnc(NN)c1
ZINC49527047	C[C@@H](NS(=O)(=O)c1ccnc(NN)c1)c1ccc(Cl)cc1
ZINC49570803	C[C@H](CCc1ccco1)NS(=O)(=O)c1ccccc1NN
ZINC50389618	CCCc1ccc(S(=O)(=O)N[C@H](C)C/C(N)=N/O)cc1
ZINC51095285	CCC(C)(C)NC(=O)c1cc(NN)ccc1[N+](=O)[O-]
ZINC54415663	CC[C@H](C)[C@H](C)NC(=O)c1ccc([N+](=O)[O-])c(NN)c1
