ZINC04719096	CC(=O)c1cc2c(N)c(/C(N)=N/C#N)sc2nc1C
ZINC13332808	C[C@H](Oc1ccc(F)cc1)C(=O)Nc1cc2c(cc1C(=O)[O-])OCCCO2
ZINC13356446	Cn1cnnc1SCC(=O)Nc1c(Cl)cc(Cl)cc1C(=O)[O-]
ZINC19850089	COc1ccc(-c2n[nH]c(=S)n2/N=C/c2ccccc2C(=O)[O-])cc1
ZINC21911249	Cc1ccccc1-c1nc(SCC(=O)NC(C)C)n2[nH]c(=O)cc2n1
ZINC23872775	Cc1cc(C)c(NC(=O)CSc2nnc3nc([O-])c4c(n23)CCC4)c(C)c1
ZINC23872867	O=C(CSc1nnc2nc([O-])c3c(n12)CCC3)NCc1ccccc1Cl
ZINC25539237	O=C([O-])COc1ccc(/C=N/NC(=O)c2ccc(Br)o2)cc1
ZINC32577731	Cc1cc(=O)[nH]c(S[C@@H](C)C(=O)N[C@@H](C)c2cnn(-c3ccccc3)c2)n1
ZINC35598405	Cc1cc([O-])nc(-n2ncc(C(=O)Nc3cccc(C(F)(F)F)c3)c2C)n1
ZINC06791165	CCSc1nnc(NC(=O)c2cc(-c3ccc(C)cc3O)[nH]n2)s1
ZINC06791165	CCSc1nnc(NC(=O)c2cc(-c3ccc(C)cc3O)n[nH]2)s1
ZINC39772471	Cc1cc([O-])nc(SCC(=O)N[C@H](C)c2ccc3c(c2)OCCCO3)n1
ZINC39932641	O=C1CS/C(=N\N=C\c2ccc(-c3cc(Cl)ccc3C(=O)[O-])o2)N1
ZINC44295829	Cc1cc(C)c2c(=O)c(C[C@H](NC(=O)OC(C)(C)C)C(=O)[O-])coc2c1
ZINC40310248	COC(=O)c1ccc([C@H]2CC(O)=Nc3c(C(=O)[O-])cn(-c4ccccc4)c32)cc1
ZINC40310248	COC(=O)c1ccc([C@H]2CC(=O)Nc3c(C(=O)[O-])cn(-c4ccccc4)c32)cc1
ZINC50640731	COc1cccc(NC(=O)/C(C#N)=C(/[O-])c2ccc3c(c2)CCN3C(C)=O)c1
ZINC50685337	Cn1cc(-c2nc(/C([O-])=C(\C#N)C(=O)NC3CCCCC3)cs2)cn1
ZINC40827258	COc1ccc(N2C(=O)C[C@@H](Nc3cccc(/C=C/C(=O)[O-])c3)C2=O)cc1
ZINC54731656	Cc1oc(-c2cccs2)nc1/C([O-])=C(/C#N)C(=O)Nc1ccccn1
ZINC57125653	CCOc1ccc(C#N)cc1[N-]S(=O)(=O)c1cc2c(cc1F)NC(=O)CC2
ZINC06677983	O=C(CSc1nc2[nH]c(=O)cc([O-])c2s1)c1ccc2c(c1)OCO2
ZINC58280372	C[C@H](NC(=O)c1ccc(C(F)(F)F)nc1[O-])c1cccc([N+](=O)[O-])c1
ZINC60800437	COc1cc(C)c(NS(=O)(=O)c2cc(C(=O)[O-])cc(F)c2C)cc1OC
ZINC61412765	C[C@@H](COc1ccc(F)cc1)NC(=O)c1cccc(-n2nc([O-])ccc2=O)c1
ZINC04862994	CC(=O)C/C([O-])=N/C(=N/c1ccc(C)c(Cl)c1)Nc1nc(C)cc(C)n1
ZINC63235581	COc1cccc(N/C([O-])=C(\C#N)C(=O)c2ccn(-c3cccc(F)c3)n2)c1
ZINC13363582	COc1cccc(-c2[nH]nc3nc(-c4cccc(O)c4)cc(C(=O)[O-])c23)c1
ZINC40284034	COc1ccc(-n2cc(C(=O)[O-])c3c2[C@H](c2ccc(C#N)cc2)CC(O)=N3)cc1
ZINC40284034	COc1ccc(-n2cc(C(=O)[O-])c3c2[C@H](c2ccc(C#N)cc2)CC(=O)N3)cc1
ZINC09088067	CC/C(NN1CCCCCC1)=C1\C(=O)N(c2ccc(C)cc2)C(=O)N=C1[O-]
ZINC09088067	CC/C(NN1CCCCCC1)=C1/C(=O)N=C([O-])N(c2ccc(C)cc2)C1=O
ZINC64478993	COc1ccc(C#N)cc1[N-]S(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2
ZINC39736666	Cc1nc2n(c1/C=C/C([O-])=N/c1nc(-c3ccccc3)n[nH]1)C[C@H](C)S2
ZINC50609092	CCn1c([O-])c2ccc(C(=O)Nc3cc(C)nn3C(C)(C)C)cc2nc1=S
ZINC65129086	COc1ccc([N-]S(=O)(=O)c2cc(-c3ccc(=O)[nH]n3)cs2)c(C)c1
ZINC65874533	Cc1c(C(=O)N[C@@H](C)c2ccccc2C(F)(F)F)cnn1-c1ccc([O-])nn1
ZINC66584049	COC(=O)c1ccc(F)cc1S(=O)(=O)[N-]c1ccc(C)c2c[nH]nc12
ZINC66660788	C[C@H](C1CC1)n1nccc1NC(=O)[C@@H](C)n1c([S-])nnc1-c1cccs1
ZINC66808245	CS(=O)(=O)[N-]c1ccc(Nc2nc(-c3ccncc3)nc3c2CCC3)cc1
ZINC67434334	Cc1c(-c2c(-c3ccccc3)ncn2CCc2nnn[n-]2)[nH]c2ccccc12
ZINC04227875	Cc1ccc(C)c(Oc2c(C(F)(F)F)oc3cc(O)ccc3c2=O)c1C
ZINC01032566	Cc1ccc(-c2cc(Cc3cccn3-c3ccc(Cl)cc3)c(=O)[nH]n2)cc1
ZINC04405265	N#Cc1c(Cl)nc(NN=C2[C@H]3C[C@@H]4C[C@@H](C[C@H]2C4)C3)c(Cl)c1Cl
ZINC00888761	Cc1ccn2c(-c3csc(Nc4cccc(Cl)c4C)n3)c(C)nc2c1
ZINC00718247	CCOc1ccc([C@@H]2C3=C(CC(C)(C)CC3=O)Nc3ccc4ncccc4c32)cc1
ZINC04663893	O=c1[nH]c(-c2ccc(-c3cccc(Cl)c3)o2)nc2sc3c(c12)CCCC3
ZINC02917799	COc1cccc(C2=C[C@@H](c3ccccc3C)n3c(nc4ccccc43)N2)c1
ZINC04738892	Cc1cccc(Cn2cc(/C=C(/C#N)c3nc4ccccc4[nH]3)c3ccccc32)c1
ZINC04742493	O=C1c2ccccc2C(=O)c2c(NC(=O)[C@]34C[C@H]5C[C@H](C[C@H](C5)C3)C4)cccc21
ZINC01946432	Cc1cccc(NC2=C(Cl)C(=O)N(c3ccc(Cl)cc3Cl)C2=O)c1
ZINC04924233	O=c1c(Cl)c(Nc2cccc(F)c2)cnn1[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2
ZINC05058829	CC1=C(C(=O)N[C@@H](C)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)C2(CCCCC2)OC1=O
ZINC05376421	COc1ccc(/C=C2\S/C(=N\c3ccc(Br)cc3)NC2=O)cc1
ZINC05376648	Cc1ccc(C)c(/N=C2/NC(=O)/C(=C\c3cn(C)c4ccccc34)S2)c1
ZINC06780403	CC1=C(c2ccc(C(C)C)cc2)S(=O)(=O)N=C1Nc1ccc(C)cc1C
ZINC13362062	Cc1ccc(-n2nc(-c3ccccc3)c3c2NC(=O)C[C@@H]3c2ccccc2C)cc1
ZINC14709782	Cc1c(Cl)cccc1NC(=O)c1nn(-c2ccc(F)cc2)c2c1CCCC2
ZINC16400704	Cc1c(C(=O)O[C@@H]2CCC[C@H]2C)[nH]c2c1C(=O)C[C@H](c1ccc(F)cc1)C2
ZINC17074312	Cc1sc2nc(S)n(-c3cc(C(C)(C)C)ccc3O)c(=O)c2c1C
ZINC06281381	Cc1ccc2c(c1)C(c1ccc(N(C)C)cc1)=NNC(c1cccs1)=N2
ZINC00629523	CCOC(=O)C1=C(C)NC2=C(C(=O)CC(C)(C)C2)[C@@H]1c1ccc(Cl)cc1
ZINC20182029	Fc1ccc(-c2nc3ncccn3c2Nc2cccc(C(F)(F)F)c2)cc1
ZINC20713010	O=[N+]([O-])c1ccccc1[C@H]1Nc2cc(Cl)cc(Cl)c2[C@@H]2C=CC[C@H]12
ZINC20749989	O=[N+]([O-])c1ccc(F)c2c1[C@@H]1C=CC[C@@H]1[C@@H](c1c(Cl)cccc1Cl)N2
ZINC20796589	Cc1cccc(Nc2nn(-c3ccc(F)cc3)c3c2C(=O)C[C@@H](C)C3)c1C
ZINC21313945	COc1ccc(/C=C2\SC(NC3CCCC3)=NC2=O)cc1Br
ZINC21918924	CCCNC(=O)N1Cc2c(sc3c2CCCC3)-n2cccc2[C@@H]1C(C)C
ZINC00704313	N#C/C(=N\Nc1ccc(Br)cc1)C(=O)c1ccccc1Cl
ZINC02321979	S=c1[nH]nc(-c2ccccc2)n1/N=C/c1c2ccccc2cc2ccccc12
ZINC37298622	Cc1ccc(N[C@@H](C)c2ccc(I)cc2)cc1[N+](=O)[O-]
ZINC04182327	O=C1c2ccccc2N[C@H](c2ccccc2Cl)N1N=C1CCCCCC1
ZINC01634550	C=C1CC[C@@H]2C(C)(C)[C@H](O)CC[C@@]2(C)[C@@H]1COc1ccc2ccc(=O)oc2c1
ZINC04058908	N#C/C(C(=O)c1ccc(Oc2ccccc2)cc1)=C1\Nc2ccccc2S1
ZINC06475989	O=C1OC(c2ccc(Cl)cc2)=N/C1=C\Nc1ccccc1-c1ccccc1
ZINC39881214	CSc1ncc(C(=O)Nc2cc(Cl)c(Cl)cc2Cl)c(Cl)n1
ZINC39963446	CC1=CC2=N[C@H](/C(C#N)=C/c3ccc(-c4ccc(Cl)cc4)o3)N[C@H]2C=C1
ZINC40918210	Cc1nn(-c2cccc(Cl)c2)c2cc(N[C@@H](C)c3ccccc3)ncc12
ZINC43013453	COc1cccc(-c2nc3ccc(Br)cn3c2NC2CCCC2)c1
ZINC43861837	CC(=O)O[C@H]1CC[C@@]2(C)[C@H](CC[C@H]3[C@H]2CC[C@@]2(C)C(/C(C)=N\O)=CC[C@H]32)C1
ZINC33926856	N#C/C(=C/c1ccc(-c2cccc(C(F)(F)F)c2)o1)c1nc2ccccc2[nH]1
ZINC01233843	COc1cc(/C=N/c2ccc(-c3nc4ccc(C)cc4s3)cc2)ccc1O
ZINC55082731	O=C(N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)N1CCN(C/C=C/c2ccccc2)CC1
ZINC58929046	O=[N+]([O-])c1ccc(Cl)c2c1[C@@H]1C=CC[C@@H]1[C@@H](c1ccc(Cl)cc1)N2
ZINC58929108	O=[N+]([O-])c1ccc(Cl)c2c1[C@@H]1C=CC[C@@H]1[C@H](c1ccccc1C(F)(F)F)N2
ZINC05827658	C#CCn1cc(/C=C2/S/C(=N\c3ccc(F)cc3)NC2=O)c2ccccc21
ZINC05827658	C#CCn1cc(/C=C2/SC([N-]c3ccc(F)cc3)=NC2=O)c2ccccc21
ZINC59426994	Cc1cc(C)cc(-n2c(C)cc(/C=N/NC(=O)c3ccccc3F)c2C)c1
ZINC16268989	Cc1cc(C)cc(C/N=C2\NC(=O)/C(=C\c3ccc(N(C)C)cc3)S2)c1
ZINC03999941	CC(C)Oc1ccc(/C=C/[C@@]23N=C(O)CCN2c2ccccc2C3(C)C)cc1
ZINC03999941	CC(C)Oc1ccc(/C=C/[C@@]23NC(=O)CCN2c2ccccc2C3(C)C)cc1
ZINC64611569	Cc1ccc(-c2csc3c(=O)[nH]c(N4CCc5ccccc5C4)nc23)cc1
ZINC67341483	c1ccc2c(c1)NC1(CCCCC1)N=C2SCc1ccc2c(c1)OCCO2
ZINC02091804	O=C(COc1ccc2c3c(c(=O)oc2c1)CCC3)N[C@H](C(=O)[O-])c1ccccc1
ZINC02486648	COC(=O)c1c(-c2ccco2)csc1NC(=O)[C@H]1CC=CC[C@H]1C(=O)[O-]
ZINC04576392	CCc1ccc([C@@H]2C(C(C)=O)=C(O)C(=O)N2c2ccc(OCC(=O)[O-])cc2)cc1
ZINC05742212	COc1ccc(/C=C/C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)[O-])C(C)(C)S[C@H]23)cc1
ZINC08879447	Cc1c(CC(=O)NCCC(=O)[O-])c(=O)oc2cc3c(cc12)CCC(C)(C)O3
ZINC12752518	CCOC(=O)c1c(-c2ccco2)csc1NC(=O)[C@@H]1CC=CC[C@@H]1C(=O)[O-]
ZINC12786574	Cc1ccc(-c2nnc(S[C@H]3CCCCNC3=O)n2CCC(=O)[O-])cc1
ZINC13051080	C[C@@H](O)Cn1c(SCC(=O)C(C)(C)C)nc2cc(C(=O)[O-])ccc2c1=O
ZINC13052332	C[C@H](O)Cn1c(SCc2ccccc2C#N)nc2cc(C(=O)[O-])ccc2c1=O
ZINC13076649	COc1cc(/C=C/C(=O)[O-])cc(S(=O)(=O)N[C@@H]2CCCC[C@@H]2C)c1OC
ZINC13203414	C[C@H]1CCCC[C@H]1NC(=O)CSc1nnc(-c2cccs2)n1CC(=O)[O-]
ZINC13251262	O=C([O-])c1cc(S(=O)(=O)N(Cc2ccco2)Cc2ccccc2O)ccc1F
ZINC13267156	CCNC(=O)CSc1nc2cc(C(=O)[O-])ccc2c(=O)n1-c1ccccc1F
ZINC13315347	CCOc1cc2c(cc1CNS(=O)(=O)c1cc(C(=O)[O-])cs1)O[C@H](C)C2
ZINC13317175	C[C@H]1Cc2cc(C(=O)NCc3ccc(C(=O)[O-])cc3)ccc2N1S(C)(=O)=O
ZINC13345540	Cc1ccc(C(=O)[O-])cc1NC(=O)CSc1nnc(C(F)(F)F)n1C
ZINC15008612	O=C(CN1C(=O)S/C(=C/c2cccc(C(=O)[O-])c2)C1=O)Nc1ccccc1
ZINC16907035	Cc1cc(O)ccc1N1C(=O)S/C(=C/c2ccc(O[C@@H](C)C(=O)[O-])cc2)C1=O
ZINC16994701	COc1ccc(C(=O)C2=C([O-])C(=O)N[C@@H]2c2ccc(OC)cc2OC)cc1
ZINC20901005	COc1ccc(C2=C(C)C([N-]c3ccc(NC(C)=O)cc3)=NS2(=O)=O)cc1
ZINC27532007	CCCOc1c(Br)cc(/C=C2/C(=O)NC(=O)N=C2[O-])cc1OC
ZINC27551963	O=C([O-])C[C@@H]1S/C(=N/N=C/c2ccc(OCc3ccccc3)cc2)NC1=O
ZINC35842129	CCN1C(=O)N[C@@H](c2ccccc2C(F)(F)F)C2=C1CN(CCC(=O)[O-])C2=O
ZINC00818301	COc1ccc(N2C([S-])=C(C#N)C(=O)N[C@H]2c2ccc(OC)c(OC)c2)cc1
ZINC00866001	COc1ccc([C@H]2C[C@@H](C(F)(F)F)n3nc(C(=O)[O-])cc3N2)cc1OC
ZINC04179644	CCOC(=O)c1c(NC(=O)[C@H]2[C@H]3CC[C@H](O3)[C@@H]2C(=O)[O-])sc2c1CCCC2
ZINC03626850	CCOC(=O)N[C@@]1(C(F)(F)F)N=C([O-])N(c2cccc(C(F)(F)F)c2)C1=O
ZINC39582238	CC[C@H](Sc1nnc(C)c([O-])n1)C(=O)N[C@@H]1SC2=C(CCCC2)[C@H]1C#N
ZINC39994793	CCOc1cc(/C=C(C#N)/C([O-])=N/c2nnc(CC(C)C)s2)ccc1O
ZINC40123640	CCOc1ccc(C(=O)C2=C([O-])C(=O)N[C@@H]2c2cccc(OC)c2OC)cc1C
ZINC41263169	O=S(=O)(NCc1nc(-c2ccc3nc([O-])oc3c2)cs1)c1cccs1
ZINC45947004	Cc1nc(COc2ccc(F)cc2)sc1C(=O)Nc1n[n-]c(C(F)(F)F)n1
ZINC13089898	CC(=O)c1c(C)[nH]c(C(=O)CSc2ncc(C(=O)[O-])n2-c2ccccc2)c1C
ZINC13221128	O=C([O-])CCn1c(SCC(=O)c2c[nH]c3ccccc23)nc2ccccc2c1=O
ZINC47403591	CC(C)c1ccc(CN(C(=O)c2cnc3nc([O-])[nH]c(=O)c3c2)C2CC2)cc1
ZINC40309315	COc1ccc([C@@H]2CC(O)=Nc3c(C(=O)[O-])cn(-c4ccccc4)c32)c(OC)c1
ZINC40309315	COc1ccc([C@@H]2CC(=O)Nc3c(C(=O)[O-])cn(-c4ccccc4)c32)c(OC)c1
ZINC40309339	COc1ccc(OC)c([C@@H]2CC(O)=Nc3c(C(=O)[O-])cn(-c4ccccc4)c32)c1
ZINC40309339	COc1ccc(OC)c([C@@H]2CC(=O)Nc3c(C(=O)[O-])cn(-c4ccccc4)c32)c1
ZINC50641920	COc1cccc(N/C([O-])=C(\C#N)C(=O)/C=C/c2c(Cl)nc3ccccn23)c1
ZINC50975119	CO/N=C\c1ccc(C(=O)/C(C#N)=C(\[O-])Nc2ccc(OC)c(Cl)c2)cc1
ZINC50980546	CN(C/C([O-])=C(/C#N)C(=O)Nc1cccc(Cl)c1Cl)C(=O)c1ccco1
ZINC18215400	COc1ccc(-c2nnc([S-])n2CC(=O)NCc2ccc(N(C)C)cc2)cc1
ZINC25191809	CCCc1nnc([S-])n1CC(=O)N[C@@H](C)c1cc2cccc(OC)c2o1
ZINC54729927	N#C/C(C(=O)c1ccc(COc2ccc(F)cc2)o1)=C(/[O-])Nc1ccccn1
ZINC61058619	CN(CC(=O)NC(C)(C)C)C(=O)CCn1c([S-])nnc1-c1ccc(F)cc1
ZINC61720180	O=C(Cn1nc(-c2ccc(Cl)cc2)ccc1=O)N[C@@H](C(=O)[O-])c1ccccc1
ZINC62676043	COc1ccc(NC(=O)/C(C#N)=C(/[O-])Cc2cn(C)c3ccccc23)cc1OC
ZINC64101091	Cc1nc(/C([O-])=C(/C#N)C(=O)NCc2ccccc2)nn1-c1ccccc1Cl
ZINC40309803	COc1ccc([C@H]2CC(O)=Nc3c(C(=O)[O-])cn(-c4ccccc4)c32)cc1OC
ZINC40309803	COc1ccc([C@H]2CC(=O)Nc3c(C(=O)[O-])cn(-c4ccccc4)c32)cc1OC
ZINC66504180	CCCn1c(=O)[nH]c2cc(S(=O)(=O)/N=C(\[O-])[C@@H]3C[C@@H]3c3ccccc3)ccc21
ZINC67344001	CS[C@H](C)c1cccc(NC(=O)c2cnn(-c3ccc([O-])nn3)c2C)c1
ZINC04017021	CC[C@H](C)[C@H](NC(=O)[C@@H](CC(=O)OCc1ccccc1)NC(=O)[C@H]([NH3+])CC(C)C)C(=O)N[C@@H](C)C(N)=O
ZINC04133146	COc1ccc2cc(CN(CCCO)C(=S)NCCC[NH+](C)C)c(=O)[nH]c2c1
ZINC05258766	CCOc1ccc(NC(=O)C[C@@H]([NH2+]CCC[NH+](C)C)C(=O)[O-])c([N+](=O)[O-])c1
ZINC06546891	CCOC(=O)CNC(=O)[C@H](CCSC)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)OC(C)(C)C
ZINC06631985	CC[C@@H](C)[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(C)C)C(N)=O
ZINC06631988	CC[C@@H](C)[C@H](NC(=O)[C@@H]1CCC(=O)N1C(=O)OCc1ccccc1)C(=O)N[C@@H](CC(C)C)C(N)=O
ZINC08648552	COc1ccc(NC(=S)NNC(=O)CSCC(=O)Nc2ccc(OC(F)(F)F)cc2)cc1
ZINC08757880	COc1ccc(C(=O)/C=C/c2cn(C[C@H](O)C[NH2+]CCc3c[nH]c4ccc(OC)cc34)c3ccccc23)cc1
ZINC09396645	COC(=O)c1cccc(OC[C@H](O)C[NH2+]C[C@H](c2ccc(OC)cc2)c2c[nH]c3ccccc23)c1
ZINC10128383	CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCC(=O)N1C(=O)OCc1ccccc1)C(N)=O
ZINC10568622	CCCCn1c(N)c(N(CCOC)CC(=O)N[C@@H](c2ccc(F)cc2)C(C)C)c(=O)[nH]c1=O
ZINC11725687	COCCN(C(=O)CNc1ccc(C(=O)OC(C)C)cc1)c1c(N)n(CC(C)C)c(=O)[nH]c1=O
ZINC13540464	CCCCC/C=C\C/C=C\C=C/C=C\[C@@H](SC[C@@H]([NH3+])C(=O)[O-])[C@@H](O)CCCC(=O)[O-]
ZINC13549773	CCCCC/C=C\C/C=C\C=C/C=C\[C@@H](SC[C@H]([NH3+])C(=O)[O-])[C@@H](O)CCCC(=O)[O-]
ZINC13977769	[NH3+][C@@](CO)(CCc1ccc(Sc2cccc(OCc3ccccc3)c2)cc1Cl)COP(=O)([O-])[O-]
ZINC14197873	COc1ccc(S(=O)(=O)NCCC(=O)O[C@H](C)C(=O)NCCc2ccc(S(N)(=O)=O)cc2)cc1
ZINC16562369	CCCCN(C(=O)C[N@@H+](C)Cc1ccc(OCC)cc1)c1c(N)n(CC(C)C)c(=O)[nH]c1=O
ZINC16852768	CCCC[C@@H](C(=O)OCCCCC[C@H](C)CC)c1c(O)nc(N)nc1O
ZINC19535988	CCCCN(C(=O)C[N@@H+](Cc1ccccc1)Cc1ccco1)c1c(N)n(CCC)c(=O)[nH]c1=O
ZINC20167530	CCOC(=O)CC1=C(C(=O)OCC)[C@]2(C(=O)O1)C(C(=O)OCC)=C(N)N(CC(N)=O)c1ccccc12
ZINC20832682	C=CCc1cccc(/C=N/Nc2nc(SCCC(=O)Nc3cc(OC)cc(OC)c3)n[nH]2)c1O
ZINC20913314	COC(=O)c1ccc(/C=N/Nc2nnc(SCC(=O)NCc3cccc(OC)c3OC)n2N)cc1
ZINC21078620	CCCCOc1cccc(NC(=O)CSc2n[nH]c(N/N=C/c3ccc(OC)c(O)c3)n2)c1
ZINC21320911	COc1ccc(CNC(=O)CSc2nnc(N/N=C/c3ccccc3OCc3ccccc3)n2N)cc1
ZINC21741708	CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1C(=O)OCC(=O)Nc1sccc1C(N)=O
ZINC02540745	O[C@H](C[NH2+]CCOc1ccccc1OCc1ccccc1)COc1cccc2[nH]c3ccccc3c12
ZINC22051184	COc1ccc(OCc2ccccc2)cc1OCC[NH2+]C[C@H](O)COc1cccc2[nH]c3ccccc3c12
ZINC23172064	CC(C)[NH+](CCNS(=O)(=O)c1ccc(NCCNc2cnccn2)c([N+](=O)[O-])c1)C(C)C
ZINC23642090	CCOC(=O)c1c(NC(=O)COC(=O)C[C@H](NC(N)=O)c2ccc(Cl)cc2)sc(C)c1CC
ZINC27556921	CN(CCOc1ccc(C[C@@H](Nc2ccccc2/C(=N/N)c2ccccc2)C(=O)[O-])cc1)c1cccc[nH+]1
ZINC27642993	CCCCC/C=C\C/C=C\C=C/C=C\[C@H](SC[C@H]([NH3+])C(=O)[O-])[C@@H](O)CCCC(=O)[O-]
ZINC29412042	CCN(CCO)C(=O)c1ccc2[nH]c(-c3cc(C)cc(C)c3)c(CC[NH2+]CCCCc3cccnc3)c2c1
ZINC18183089	O[C@@H](CNc1ccc(F)cc1)COc1ccc(OC[C@H](O)CNc2ccc(F)cc2)cc1
ZINC35385421	COC(=O)c1ccc([C@@H]([NH2+]CCN2CCOCC2)[C@H](C[NH2+]CCN2CCOCC2)C(=O)[O-])cc1
ZINC06631918	CC[C@@H](C)C[C@H](NC(=O)[C@@H](CC(=O)OCc1ccccc1)NC(=O)[C@H]([NH3+])CC(C)C)C(=O)N[C@@H](C)C(N)=O
ZINC38642513	OCC[NH+](C[C@H](O)COc1ccccc1)C[C@H](O)COc1ccccc1
ZINC38807035	COC(=O)[C@H](CCCCN(C(C)=O)[C@@H](C(=O)NC(C)(C)C)C(C)C)[NH2+][C@H](C(=O)NC(C)(C)C)C(C)C
ZINC39344618	CC[C@H](C)CNc1c[nH+]c2c(c1)[C@@H](NC(=O)COC)[C@@H](C(=O)OC)N2CCc1c[nH]c2ccccc12
ZINC40459140	COc1cccc([C@@H](C[NH2+]C[C@@H](O)COC[C@@H]2CCCO2)c2c[nH]c3ccccc23)c1OC
ZINC43209018	O=C([O-])[C@H](C[NH2+]CCN1CCOCC1)[C@@H]([NH2+]CCN1CCOCC1)c1ccc(Cl)cc1Cl
ZINC59016908	CCCCSc1ccccc1NC(=O)CSc1n[nH]c(N/N=C/c2cccc(OC)c2O)n1
ZINC59887921	C=CCSc1nnc(NC(=O)CSc2n[nH]c(N/N=C/c3c(C)nn(CCO)c3C)n2)s1
ZINC59887924	Cc1nn(CCO)c(C)c1/C=N/Nc1nc(SCC(=O)Nc2nnc(SCC(C)C)s2)n[nH]1
ZINC12559939	CCCc1cc(C(=O)OCC(=O)N(CCCOC)c2c(N)n(Cc3ccccc3)c(=O)[nH]c2=O)[nH]n1
ZINC13959897	CCOCCCNC(=S)NNC(=O)c1cc2n(n1)[C@H](C(F)(F)F)C[C@@H](c1ccc(C(C)C)cc1)N2
ZINC63350016	CC(C)[C@@H](NC(=O)OCc1ccccc1)C(=O)NCC(=O)N[C@H](CC1=c2ccccc2=[NH+]C1)C(=O)[O-]
ZINC64569380	CCOC(=O)CC[N@H+](CC(=O)c1c(N)n(CC(C)C)c(=O)[nH]c1=O)CC1CC1
ZINC22785899	CCOC(=O)c1c(NC(=O)C[C@@H]([NH2+]CC[NH+](CC)CC)C(=O)[O-])sc2c1CCCC2
ZINC66359434	C=CC[NH+](CC=C)[C@@H](CNC(=O)NCc1ccc(C(=O)NC2CC2)cc1)C(C)C
ZINC66993644	COc1ccc(COCCC[NH2+]Cc2ccc(OCC(N)=O)cc2)cc1
ZINC02798549	S=C(NCc1ccco1)Nc1cnn(Cn2cc(NC(=S)NCc3ccco3)cn2)c1
ZINC04762882	CSCC[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)OC(C)(C)C)C(N)=O
ZINC04823492	CC(=O)OC[C@H]1O[C@@H](Oc2ccc(N)cc2N)[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O
ZINC08568454	COCCOC(=O)CCC(=O)NC(=S)Nc1sc2c(c1C(N)=O)CCCC2
ZINC09127839	CCCCn1c(N)c(N(CCC(C)C)C(=O)COC(=O)CNC(=O)c2cccs2)c(=O)[nH]c1=O
ZINC11351072	CCCCn1c(N)c(N(CCC)CC(=O)Nc2ccsc2C(=O)OC)c(=O)[nH]c1=O
ZINC11466380	CCCCN(C(=O)CSc1nnc(CCC)[nH]1)c1c(N)n(CCC)c(=O)[nH]c1=O
ZINC03370335	CCOC(=O)c1c(C)[nH]c(C(=O)COC(=O)[C@@H](CC(C)C)NC(N)=O)c1C
ZINC13146512	COCCN(C(=O)COC(=O)c1[nH]c(C)c(C(C)=O)c1C)c1c(N)n(CC(C)C)c(=O)[nH]c1=O
ZINC04772413	COC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)OC(C)(C)C
ZINC12543541	CCCCn1c(N)c(N(Cc2ccccc2)C(=O)CCNc2ccccc2[N+](=O)[O-])c(=O)[nH]c1=O
ZINC13976778	CCc1ccc(OCC(=O)NC(=S)NNC(=O)CCC(=O)Nc2cccc(Cl)c2C)cc1
ZINC14806535	C[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)NOC(=O)c1ccccc1
ZINC16382574	CCCC1=C(C(=O)OCC)[C@@H](c2cc(Cl)c(OCC(N)=O)c(OCC)c2)NC(=O)N1
ZINC17282239	CCN(CC)P1(N(CC)CC)=N[P@@](N)(N(CC)CC)=N[P@@](N)(N(CC)CC)=N1
ZINC19355532	Cc1cccc(NC(=O)c2ccccc2NC(=O)CSc2nnc(CCC(N)=O)n2CC(C)C)c1
ZINC02794356	CCOCCCNC(=S)NNC(=O)c1cc2n(n1)[C@H](C(F)(F)F)C[C@H](c1ccc(C)c(C)c1)N2
ZINC20827128	COc1ccc(NC(=O)CSc2nnc(N/N=C/c3cc(OC)c(OC)c(OC)c3)n2N)cc1
ZINC20827134	COc1ccccc1NC(=O)CSc1nnc(N/N=C/c2cc(OC)c(OC)c(OC)c2)n1N
ZINC20832684	C=CCc1cccc(/C=N/Nc2nc(SCCC(=O)Nc3ccc(C(F)(F)F)cc3)n[nH]2)c1O
ZINC20878225	CCOc1cc(CNc2cccc(C(=O)NCC(C)C)c2)cc(Br)c1OCC(N)=O
ZINC20912129	COc1cc(NC(=O)CCSc2nnc(N/N=C/c3c(C)nn(C(C)C)c3C)n2N)cc(OC)c1
